,0
20140606,52.0
20140607,42.0
20140608,58.0
20140609,52.0
20140610,44.0
20140611,52.0
20140612,38.0
20140613,36.0
20140614,36.0
20140615,36.0
20140616,46.0
20140617,58.0
20140618,52.0
20140619,56.0
20140620,60.0
20140621,60.0
20140622,52.0
20140623,56.0
20140624,54.0
20140625,54.0
20140626,72.0
20140627,66.0
20140628,68.0
20140629,62.0
20140630,60.0
20140701,62.0
20140702,74.0
20140703,70.0
20140704,62.0
20140705,72.0
20140706,68.0
20140707,60.0
20140708,62.0
20140709,94.0
20140710,78.0
20140711,56.0
20140712,66.0
20140713,72.0
20140714,62.0
20140715,60.0
20140716,56.0
20140717,54.0
20140718,50.0
20140719,52.0
20140720,60.0
20140721,54.0
20140722,54.0
20140723,58.0
20140724,64.0
20140725,56.0
20140726,50.0
20140727,74.0
20140728,48.0
20140729,60.0
20140730,64.0
20140731,44.0
20140801,58.0
20140802,56.0
20140803,64.0
20140804,64.0
20140805,64.0
20140806,54.0
20140807,50.0
20140808,46.0
20140809,68.0
20140810,62.0
20140811,56.0
20140812,60.0
20140813,54.0
20140814,40.0
20140815,36.0
20140816,40.0
20140817,44.0
20140818,52.0
20140819,36.0
20140820,44.0
20140821,40.0
20140822,40.0
20140823,50.0
20140824,48.0
20140825,64.0
20140826,56.0
20140827,50.0
20140828,54.0
20140829,46.0
20140830,70.0
20140831,46.0
20140901,52.0
20140902,50.0
20140903,56.0
20140904,54.0
20140905,58.0
20140906,58.0
20140907,58.0
20140908,46.0
20140909,54.0
20140910,76.0
20140911,70.0
20140912,72.0
20140913,78.0
20140914,74.0
20140915,72.0
20140916,70.0
20140917,70.0
20140918,64.0
20140919,48.0
20140920,58.0
20140921,60.0
20140922,54.0
20140923,62.0
20140924,54.0
20140925,66.0
20140926,66.0
20140927,66.0
20140928,76.0
20140929,60.0
20140930,54.0
20141001,64.0
20141003,48.0
20141004,40.0
20141005,38.0
20141006,56.0
20141007,46.0
20141008,42.0
20141009,42.0
20141010,54.0
20141011,62.0
20141012,44.0
20141013,44.0
20141014,42.0
20141015,50.0
20141016,50.0
20141017,50.0
20141018,44.0
20141019,50.0
20141020,46.0
20141021,42.0
20141022,54.0
20141023,44.0
20141024,44.0
20141025,50.0
20141026,48.0
20141027,66.0
20141028,60.0
20141029,44.0
20141030,42.0
20141031,50.0
20141101,44.0
20141102,62.0
20141103,36.0
20141104,40.0
20141105,40.0
20141106,38.0
20141107,40.0
20141108,46.0
20141109,36.0
20141110,38.0
20141111,46.0
20141112,42.0
20141113,54.0
20141114,54.0
20141115,60.0
20141116,62.0
20141117,58.0
20141118,54.0
20141119,66.0
20141120,56.0
20141121,36.0
20141122,66.0
20141123,58.0
20141124,38.0
20141125,44.0
20141126,56.0
20141127,68.0
20141128,42.0
20141129,46.0
20141130,80.0
20141201,70.0
20141202,70.0
20141203,60.0
20141204,64.0
20141205,54.0
20141206,62.0
20141207,64.0
20141208,62.0
20141209,44.0
20141210,48.0
20141211,32.0
20141213,52.0
20141214,44.0
20141215,42.0
20141216,48.0
20141217,36.0
20141218,38.0
20141219,42.0
20141220,66.0
20141221,50.0
20141222,60.0
20141223,62.0
20141224,64.0
20141225,68.0
20141226,54.0
20141227,46.0
20141228,50.0
20141229,66.0
20141230,78.0
20141231,68.0
20150101,70.0
20150102,90.0
20150103,74.0
20150104,58.0
20150105,54.0
20150106,62.0
20150107,66.0
20150108,78.0
20150109,72.0
20150111,34.0
20150112,50.0
20150113,32.0
20150114,38.0
20150115,34.0
20150116,38.0
20150117,30.0
20150118,26.0
20150119,30.0
20150120,34.0
20150121,38.0
20150122,30.0
20150123,42.0
20150124,46.0
20150125,52.0
20150126,30.0
20150127,28.0
20150128,22.0
20150129,34.0
20150130,50.0
20150131,40.0
20150201,42.0
20150202,40.0
20150203,28.0
20150204,34.0
20150205,42.0
20150206,48.0
20150207,48.0
20150208,42.0
20150209,46.0
20150210,62.0
20150211,56.0
20150212,56.0
20150213,56.0
20150214,44.0
20150215,30.0
20150216,32.0
20150217,52.0
20150218,48.0
20150219,44.0
20150220,42.0
20150221,54.0
20150222,38.0
20150223,46.0
20150224,70.0
20150225,58.0
20150226,52.0
20150227,26.0
20150301,42.0
20150302,32.0
20150303,24.0
20150304,30.0
20150305,30.0
20150306,38.0
20150307,36.0
20150308,38.0
20150309,14.0
20150310,16.0
20150311,40.0
20150312,40.0
20150313,28.0
20150314,60.0
20150315,48.0
20150316,48.0
20150317,52.0
20150318,28.0
20150319,44.0
20150320,62.0
20150321,48.0
20150322,36.0
20150323,36.0
20150324,26.0
20150325,36.0
20150326,32.0
20150327,42.0
20150328,48.0
20150329,34.0
20150330,24.0
20150331,30.0
20150401,42.0
20150402,34.0
20150403,32.0
20150404,40.0
20150405,46.0
20150406,62.0
20150407,68.0
20150408,48.0
20150409,52.0
20150410,54.0
20150411,46.0
20150412,52.0
20150413,36.0
20150414,62.0
20150415,70.0
20150416,76.0
20150417,66.0
20150418,70.0
20150419,66.0
20150420,56.0
20150421,56.0
20150422,54.0
20150423,70.0
20150424,60.0
20150425,62.0
20150426,44.0
20150427,54.0
20150428,58.0
20150429,72.0
20150430,58.0
20150501,66.0
20150502,68.0
20150503,52.0
20150504,58.0
20150505,56.0
20150506,48.0
20150507,42.0
20150508,42.0
20150509,54.0
20150510,64.0
20150511,56.0
20150512,68.0
20150513,44.0
20150514,38.0
20150515,68.0
20150516,82.0
20150517,84.0
20150518,76.0
20150519,78.0
20150520,78.0
20150521,70.0
20150522,76.0
20150523,74.0
20150524,72.0
20150525,74.0
20150526,64.0
20150527,60.0
20150528,74.0
20150529,90.0
20150530,72.0
20150531,92.0
20150601,74.0
20150602,76.0
20150603,80.0
20150604,78.0
20150605,66.0
20150606,74.0
20150607,90.0
20150608,76.0
20150609,62.0
20150610,76.0
20150611,82.0
20150612,82.0
20150613,74.0
20150614,80.0
20150615,72.0
20150616,90.0
20150617,82.0
20150618,74.0
20150619,70.0
20150620,74.0
20150621,80.0
20150622,80.0
20150623,82.0
20150624,80.0
20150625,76.0
20150626,76.0
20150627,78.0
20150628,72.0
20150629,60.0
20150630,56.0
20150701,76.0
20150702,74.0
20150703,64.0
20150704,66.0
20150705,50.0
20150706,54.0
20150707,66.0
20150708,58.0
20150709,72.0
20150710,60.0
20150711,64.0
20150712,62.0
20150713,68.0
20150714,78.0
20150715,70.0
20150716,50.0
20150717,60.0
20150718,66.0
20150719,58.0
20150720,72.0
20150721,74.0
20150722,72.0
20150723,68.0
20150724,58.0
20150725,78.0
20150726,88.0
20150727,60.0
20150728,62.0
20150729,72.0
20150730,68.0
20150731,64.0
20150801,78.0
20150802,82.0
20150803,80.0
20150804,80.0
20150805,84.0
20150806,90.0
20150807,62.0
20150808,46.0
20150809,66.0
20150810,62.0
20150811,70.0
20150812,72.0
20150813,50.0
20150814,54.0
20150815,56.0
20150816,50.0
20150817,38.0
20150818,36.0
20150819,28.0
20150820,48.0
20150821,38.0
20150822,34.0
20150823,36.0
20150824,28.0
20150825,34.0
20150826,32.0
20150827,32.0
20150828,32.0
20150829,50.0
20150830,52.0
20150831,48.0
20150901,40.0
20150902,52.0
20150903,50.0
20150904,34.0
20150905,44.0
20150906,56.0
20150907,58.0
20150908,38.0
20150909,38.0
20150910,36.0
20150911,36.0
20150912,32.0
20150913,38.0
20150914,50.0
20150915,52.0
20150916,50.0
20150917,48.0
20150919,48.0
20150920,36.0
20150921,38.0
20150922,44.0
20150923,42.0
20150924,34.0
20150925,40.0
20150926,56.0
20150927,44.0
20150928,48.0
20150929,52.0
20150930,66.0
20151001,56.0
20151002,46.0
20151003,44.0
20151004,70.0
20151005,54.0
20151006,40.0
20151007,54.0
20151008,54.0
20151009,54.0
20151010,56.0
20151011,64.0
20151012,62.0
20151013,44.0
20151014,46.0
20151015,66.0
20151016,46.0
20151017,48.0
20151018,42.0
20151019,44.0
20151020,42.0
20151021,30.0
20151022,36.0
20151023,48.0
20151024,44.0
20151025,36.0
20151026,46.0
20151027,34.0
20151028,34.0
20151029,28.0
20151030,36.0
20151031,30.0
20151101,32.0
20151102,28.0
20151103,24.0
20151104,26.0
20151105,24.0
20151106,26.0
20151107,50.0
20151108,26.0
20151109,24.0
20151110,28.0
20151111,22.0
20151112,24.0
20151113,24.0
20151114,30.0
20151115,30.0
20151116,30.0
20151117,38.0
20151118,42.0
20151119,28.0
20151120,24.0
20151121,38.0
20151122,44.0
20151123,66.0
20151124,56.0
20151125,42.0
20151126,32.0
20151127,38.0
20151128,36.0
20151129,40.0
20151130,44.0
20151201,50.0
20151202,34.0
20151203,26.0
20151204,52.0
20151205,34.0
20151206,32.0
20151207,32.0
20151208,40.0
20151209,26.0
20151210,38.0
20151211,30.0
20151212,26.0
