,0
0,WSTETH
1,WBTC
2,WETH
3,WEETH
4,CBBTC
5,SOLVBTC
6,SOLVBTC.BBN
7,CBETH
8,TBTC
9,CWBTC
10,OHM
11,WBETH
12,WETH
13,CETH
14,WSTETH
15,QUIL
16,WNXM
17,FBTC
18,TEMPLE
19,WCFG
20,CBAT
21,WXRP
22,SB
23,CUSDC
24,CUNI
25,SUSD
26,RENBTC
27,CDAI
28,WAMPL
29,WAAC
30,WMNT
31,SBTC
