,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,186231409722.18,15627023886.22,10407.97,17893162.0,0.09,2.76,0.22
1,2,ETH,20920364878.51,6658162376.91,194.71,107445803.0,0.12,1.56,5.07
2,3,XRP,11866405277.38,999419343.18,0.2765,42909539227.0,0.18,2.27,5.63
3,4,BCH,5691438063.38,1442794558.16,316.83,17963900.0,0.04,2.45,1.69
4,5,LTC,4757819433.34,2496513401.35,75.4,63098699.0,0.23,2.57,0.54
5,6,BNB,4226014865.51,195437616.03,27.17,155536713.0,0.13,0.44,-1.85
6,7,USDT,4064927505.51,17469694438.56,1.0039,4049107372.0,0.02,0.11,0.15
7,8,EOS,3419845291.38,1535132625.94,3.6823,928717932.0,0.13,1.17,2.37
8,9,BSV,2432661964.12,298744767.07,136.25,17854986.0,0.1,0.81,0.57
9,10,XMR,1410889708.99,98854438.18,82.17,17170663.0,0.12,0.05,-0.37
10,11,XLM,1353427205.09,111043772.21,0.06893,19636141841.0,0.13,4.15,0.35
11,12,ADA,1290905550.71,54095276.05,0.04979,25927070538.0,0.22,0.0,6.52
12,13,TRX,1205807717.48,490595580.39,0.01808,66682072191.0,0.06,2.68,6.6
13,14,LEO,1202311139.53,6549769.65,1.2029,999498893.0,0.04,-0.76,1.12
14,15,DASH,843219318.57,225009605.22,93.73,8995826.0,0.05,2.89,-0.3
15,16,ETC,807602301.25,1157799955.63,7.1514,112929943.0,-0.49,-1.97,29.26
16,17,LINK,788655768.25,85783320.56,2.2533,350000000.0,0.6,1.31,-3.77
17,18,XTZ,772431594.26,9906827.72,1.1697,660373612.0,-0.28,2.78,-3.19
18,19,MIOTA,723589093.71,7733393.41,0.2603,2779530283.0,0.36,-1.12,8.04
19,20,NEO,698942894.12,244227518.46,9.9086,70538831.0,0.27,1.29,0.77
20,21,ATOM,515720515.18,129721582.18,2.7045,190688439.0,2.99,-0.3,-7.94
21,22,MKR,509045538.25,1917705.11,509.05,1000000.0,0.14,1.92,1.64
22,23,XEM,505022104.43,38636959.29,0.05611,8999999999.0,0.11,1.28,4.23
23,24,USDC,438606574.94,166459701.17,1.0015,437941226.0,0.0,0.09,0.08
24,25,ONT,407185831.58,52413021.71,0.7633,533483170.0,0.53,0.92,0.81
25,26,CRO,397711007.81,8379722.46,0.04311,9226027397.0,0.01,-1.25,-4.61
26,27,ZEC,370534232.15,121107916.58,51.06,7257231.0,0.06,0.53,3.23
27,28,INO,370036268.03,14661.51,2.0557,180003180.0,0.1,1.7,3.52
28,29,VSYS,343233620.36,14313824.57,0.192,1787224149.0,2.04,4.08,-6.13
29,30,DOGE,328052057.38,21615807.13,0.002713,120898307563.0,-0.15,0.17,1.25
30,31,DCR,258578600.48,6463783.43,25.15,10279676.0,-0.16,0.89,-1.51
31,32,BAT,258432151.66,31815794.62,0.202,1279225522.0,0.13,2.03,12.82
32,33,VET,256291075.02,25290666.35,0.004622,55454734800.0,0.05,3.11,2.63
33,34,QTUM,250273856.81,179781831.31,2.608,95964444.0,0.18,2.02,13.27
34,35,BTG,246329413.13,13038216.37,14.06,17513924.0,-0.41,4.86,2.39
35,36,HT,242982161.24,67588622.34,4.8596,50000200.0,0.08,-0.12,-1.57
36,37,HEDG,242920420.13,3561274.74,0.8423,288393355.0,1.39,10.11,5.93
37,38,TUSD,195439516.97,327335821.96,1.002,195047275.0,0.03,0.04,0.09
38,39,PAX,194850652.12,486426192.88,1.0025,194366961.0,0.01,0.05,-0.01
39,40,OMG,174295813.64,43839130.28,1.2428,140245398.0,-0.3,-0.14,6.91
40,41,RVN,169185021.93,27355057.05,0.0397,4261790000.0,-0.27,15.89,20.46
41,42,THR,160407955.5,211851.09,1850.45,86686.0,0.14,2.8,0.29
42,43,PLC,159107113.68,3151889.54,31.81,5001073.0,-0.28,0.65,-0.79
43,44,LSK,147412309.28,2332069.24,1.233,119559986.0,0.24,1.18,-2.44
44,45,ALGO,141076400.47,52556813.98,0.561,251454029.0,0.73,-1.29,-18.97
45,46,KCS,138985702.74,20561750.25,1.5661,88745681.0,0.54,-1.13,-3.78
46,47,NANO,137702483.11,2047910.72,1.0334,133248297.0,0.11,0.12,0.58
47,48,BTT,134899715.79,31368190.67,0.000636,212116500000.0,-0.02,1.76,1.41
48,49,BCD,130973193.76,4309562.97,0.7023,186492898.0,0.11,-1.09,1.12
49,50,WAVES,130502741.5,16791816.8,1.305,100000000.0,0.22,1.8,8.67
50,51,INB,125409026.66,11862890.43,0.3584,349902689.0,0.19,14.07,29.3
51,52,NRG,124676523.3,805527.56,6.2452,19963630.0,0.14,0.56,-0.77
52,53,ICX,118971585.08,24765861.69,0.2426,490453303.0,0.37,7.45,20.37
53,54,LAMB,116881522.58,38564590.93,0.1792,652328923.0,-1.89,1.85,-4.42
54,55,HOT,116754176.29,7669020.71,0.0008764,133214575156.0,-0.34,7.41,3.31
55,56,HC,115911671.65,4848153.09,2.6628,43529781.0,0.4,-0.58,39.48
56,57,DGB,115677909.15,1471815.8,0.009496,12181719955.0,0.31,5.53,2.67
57,58,BCN,113929514.91,16397.25,0.000619,184066828814.0,0.43,4.75,3.68
58,59,THETA,112320338.16,2651643.83,0.129,870502690.0,0.42,1.87,12.44
59,60,BTS,112298080.38,2665239.53,0.04098,2740610000.0,0.05,1.46,5.44
60,61,ZRX,111269944.96,18690436.84,0.1853,600475853.0,-0.84,5.52,6.19
61,62,REP,109708620.78,7425126.71,9.9735,11000000.0,0.04,-1.44,1.8
62,63,XIN,108294863.54,2167546.22,237.05,456839.0,0.14,4.41,4.09
63,64,AOA,106810470.11,922381.23,0.01633,6542330148.0,-0.14,0.04,-4.31
64,65,CCC,105625465.16,43828.71,0.02794,3780570996.0,0.07,26.74,68.39
65,66,IOST,104609804.23,27051379.36,0.008707,12013965609.0,0.31,1.32,1.21
66,67,NPXS,102060900.11,2106275.09,0.000434,235171468515.0,-0.76,0.65,2.49
67,68,OSC,101420262.97,299962.98,0.04867,2083924116.0,-0.56,33.42,40.81
