,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,4112339931.78,27486566.0,285.83,14387425.0,-0.49,-1.26,6.39
1,2,XRP,271723288.7,572784.81,0.008516,31908551587.0,-0.05,-1.61,-9.65
2,3,LTC,172044422.32,7539757.5,4.2141,40825960.0,-0.97,-9.9,-31.37
3,4,DASH,20422148.35,133040.73,3.661,5578347.0,-0.28,-1.84,22.32
4,5,DOGE,18597136.28,203396.09,0.0001856,100194022226.0,-2.55,-4.99,-2.67
5,6,XLM,14528859.47,13357.76,0.003003,4837356606.0,-0.37,-2.54,-5.7
6,7,BTS,14018748.03,46819.92,0.005581,2511953117.0,-1.57,-6.86,-10.21
7,8,PPC,13480383.46,223628.14,0.5994,22489767.0,-0.67,-6.32,1.18
8,9,BANX,13211548.98,8370.55,1.9179,6888504.0,-0.5,-1.26,6.39
9,10,NXT,12933485.84,37081.98,0.01293,999997096.0,-2.69,-7.57,-12.83
10,11,MAID,12679165.7,7586.33,0.02802,452552412.0,1.64,1.71,9.59
11,12,BCN,9875124.32,20235.06,5.655e-05,174635183634.0,-2.52,5.56,52.68
12,13,NMC,8344758.18,41612.1,0.6969,11973850.0,-1.04,-5.88,-1.09
13,14,XMR,4617568.88,20020.54,0.5419,8521772.0,-0.99,-4.95,5.92
14,15,XCP,3802770.11,7984.71,1.4404,2640035.0,-0.46,-6.23,4.97
15,16,MONA,3394319.56,2111.67,0.1597,21248450.0,0.45,0.57,-0.41
16,17,START,3182921.14,19015.76,0.1151,27648053.0,-0.44,3.52,-22.1
17,18,YBC,3083535.43,58658.66,1.0278,3000000.0,-1.35,-2.71,4.35
18,19,BLK,2706080.49,47457.16,0.0361,74956339.0,-5.96,-16.46,-20.33
19,20,BTCD,2445542.47,2175.39,1.9956,1225437.0,0.23,0.02,20.01
20,21,ETC,2072257.28,1066.51,2.0723,1000000.0,-0.5,-7.91,9.52
21,22,MINT,1942703.1,6299.49,8.969e-05,21659970213.0,-2.8,-5.79,-7.86
22,23,OMNI,1921458.32,1021.3,3.5453,541976.0,1.77,12.52,100.22
23,24,NSR,1849416.94,609.71,0.002269,814924211.0,6.89,7.8,-3.64
24,25,XPM,1849416.92,45435.36,0.1709,10818963.0,-1.72,-9.82,-13.5
25,26,XDN,1789857.82,5992.09,0.0002615,6843205516.0,-0.65,-1.93,6.16
26,27,CLAM,1768758.41,9373.63,2.2792,776036.0,0.52,-2.26,20.12
27,28,NOTE,1738427.05,1816.71,0.01714,101423897.0,0.35,0.59,7.34
28,29,FC2,1616217.32,3734.21,0.01613,100206032.0,-0.45,46.76,57.76
