,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,6475852197.39,45681152.0,420.87,15386725.0,0.02,0.43,0.73
1,2,ETH,912859514.73,8682621.0,11.6,78702412.0,-0.54,-0.12,5.98
2,3,XRP,258343685.9,390399.25,0.007501,34439870367.0,0.06,1.03,-7.02
3,4,LTC,147408451.72,1174828.5,3.2621,45188026.0,-0.08,0.27,1.03
4,5,DASH,44715900.24,157191.06,7.0535,6339572.0,-0.76,-0.36,-2.2
5,6,MAID,36101666.49,133814.31,0.07977,452552412.0,-0.3,-0.36,-13.71
6,7,DOGE,23435704.05,126286.93,0.0002259,103752744518.0,0.05,1.18,5.85
7,8,XMR,17786468.81,438900.78,1.5485,11485988.0,-0.52,5.92,-8.53
8,9,BTS,15032212.23,177650.03,0.005893,2550745978.0,0.22,0.28,-9.85
9,10,FCT,13997730.53,269298.63,1.5992,8753219.0,0.18,-3.91,-12.81
10,11,XEM,12989479.35,52104.04,0.001443,8999999999.0,-0.18,-1.69,-6.69
11,12,EMC,12343634.61,14252.11,0.33,37409077.0,-0.43,3.08,-12.36
12,13,BCN,12081675.89,87281.07,6.725e-05,179651358069.0,4.61,37.98,44.26
13,14,XLM,11457878.7,30735.05,0.002089,5485679598.0,-0.06,2.01,1.5
14,15,PPC,10667047.6,27996.43,0.4621,23084521.0,0.01,2.91,-0.76
15,16,NXT,8252201.85,25356.74,0.008252,999997096.0,0.01,4.57,3.76
16,17,TIPS,7682724.65,8496.78,1.84e-05,417602793402.0,9.42,12.6,-28.55
17,18,NMC,6278927.62,5952.75,0.4491,13979700.0,-0.19,0.58,-3.47
18,19,AGRS,6008907.97,11674.2,0.1431,42000000.0,0.02,0.46,12.28
19,20,AMP,5591605.41,6503.54,0.03026,184800000.0,-4.66,-9.72,-11.29
20,21,YBC,5282278.75,97849.05,1.7568,3006698.0,0.85,7.16,-1.04
21,22,XCP,4914195.73,12713.22,1.8702,2627632.0,4.75,3.25,-1.5
22,23,GRC,4280090.23,2621.8,0.01142,374694127.0,-2.05,-4.84,1.21
23,24,SJCX,3770793.53,11191.16,0.08459,44575870.0,0.73,3.44,-16.09
24,25,RBY,3618055.38,1202.65,0.1581,22884062.0,0.47,1.49,5.36
25,26,SYS,3608344.47,139170.97,0.008416,428751485.0,-0.23,-3.07,4.53
26,27,VASH,3437101.82,80364.54,0.008585,400339746.0,-0.19,-4.13,-17.11
27,28,DGB,3264614.53,259229.56,0.0005254,6214035861.0,2.8,-2.15,-11.25
28,29,SFT,3226629.75,16112.96,0.001503,2147483647.0,-9.57,31.84,120.98
29,30,BCY,3002524.73,3330.7,0.0706,42530221.0,0.95,-2.06,-6.93
30,31,BLK,2579233.54,11117.18,0.03423,75358665.0,1.73,4.55,3.39
31,32,GAME,2562873.99,16325.77,0.04735,54121201.0,4.57,7.77,2.23
32,33,DCR,2511357.38,11825.23,1.9577,1282826.0,-2.38,-0.21,-12.31
33,34,NSR,2472849.55,12471.01,0.003019,819185054.0,-0.11,8.7,1.54
34,35,START,2268694.19,7264.46,0.05818,38994060.0,-0.2,1.87,24.13
35,36,SCOT,2116769.55,4850.86,0.002117,1000000000.0,-15.3,-18.54,45.79
36,37,XSD,2100377.82,1219.8,0.001542,1361854569.0,0.58,4.88,-19.93
37,38,MONA,2081830.06,2436.43,0.06687,31133050.0,1.19,-1.31,5.38
38,39,XVC,1926191.86,43909.69,0.1374,14019946.0,0.02,-6.65,11.4
39,40,BTCD,1802642.35,6959.35,1.4305,1260192.0,0.01,-1.54,-5.7
40,41,RADS,1717510.3,42803.95,0.6368,2697212.0,-0.93,-1.32,-2.86
41,42,MINT,1688247.72,2452.81,7.379e-05,22878711878.0,4.02,16.96,12.44
42,43,QORA,1641225.83,698429.0,0.0001641,10000000000.0,-5.62,-20.47,110.5
43,44,CREVA,1634025.7,28741.88,0.07855,20802450.0,-2.58,27.04,31.22
44,45,SLR,1584738.56,7032.59,0.04623,34279930.0,1.55,52.27,102.12
45,46,RDD,1520683.13,429970.25,5.421e-05,28053509212.0,-1.38,34.13,40.48
46,47,EAC,1518676.52,23436.6,0.0001625,9346468332.0,0.6,0.2,-4.89
47,48,SC,1495549.82,27190.37,0.000122,12254546172.0,3.07,1.3,-11.97
48,49,USDT,1451591.0,103658.17,1.0,1451591.0,0.0,0.0,0.0
49,50,XAUR,1419920.15,1925.7,216.07,6572.0,0.02,-0.17,1.37
50,51,CLAM,1399837.12,6723.75,0.8425,1661539.0,0.05,0.47,-4.0
51,52,UNITY,1370779.6,17169.46,1.6798,816061.0,-0.03,9.42,5.77
52,53,XVG,1363962.56,33867.66,0.0001303,10470350000.0,0.02,11.67,1.9
53,54,FTC,1328011.92,4739.78,0.008948,148407000.0,-0.06,-4.55,-10.9
54,55,VTC,1323479.37,2998.6,0.05735,23076650.0,0.01,-3.1,-6.26
55,56,IOC,1314954.14,20552.92,0.08096,16242395.0,0.12,-0.98,0.95
56,57,GEMZ,1313836.49,10350.12,0.01491,88135217.0,1.91,9.82,35.93
57,58,EXP,1276889.43,48900.09,0.618,2066139.0,0.62,-1.66,-17.37
58,59,OMNI,1230775.64,3580.75,2.2304,551820.0,-5.51,-0.59,1.12
59,60,XPM,1220125.01,5281.28,0.08737,13964638.0,2.92,1.1,6.55
60,61,VRC,1219842.53,5328.45,0.04434,27511950.0,-4.75,-11.85,-6.15
61,62,HMP,1164637.66,1523.25,0.0009501,1225765603.0,0.04,-54.94,36.21
62,63,NVC,1123914.82,20009.36,0.8393,1339095.0,2.94,-2.34,-2.69
63,64,QRK,1120337.36,1094.49,0.004482,249946411.0,-0.06,3.26,-4.02
64,65,SIB,1059050.49,8444.45,0.1109,9548274.0,0.68,-2.89,186.33
65,66,SDC,1030718.02,1382.27,0.1581,6521100.0,-1.28,-1.32,-4.8
66,67,XCR,979651.51,9123.28,0.009797,100000000.0,-2.25,8.76,-0.37
67,68,XDN,918826.72,26697.65,0.000134,6857600088.0,-1.75,24.83,15.2
68,69,FAIR,860427.7,708.28,0.01641,52439130.0,0.02,-2.35,17.56
69,70,AUR,858977.76,2135.07,0.1083,7931809.0,0.27,-8.05,1.21
70,71,IFC,852725.06,7516.98,9.41e-06,90596274910.0,-0.01,3.18,-7.44
71,72,CSC,811361.18,717.34,0.02188,37084185.0,0.94,21.44,51.31
72,73,WDC,786339.45,1106.2,0.0078,100812548.0,-0.83,2.25,-2.79
73,74,USNBT,761555.96,10799.19,1.0059,757084.0,0.01,1.55,0.75
74,75,XSI,758098.97,45850.8,0.08198,9246852.0,-1.54,-9.6,-43.06
75,76,SWARM,757078.84,2394.62,0.007575,99945431.0,4.64,43.44,22.46
76,77,GCR,742178.17,1732.61,0.007373,100662663.0,0.02,17.32,-1.42
77,78,MEC,723249.18,1958.02,0.02249,32157963.0,-0.08,3.12,-1.8
78,79,CURE,605249.53,1185.6,0.0229,26431310.0,1.2,4.26,-1.57
79,80,BILS,601924.61,1100.73,0.0006019,1000000000.0,0.0,2.54,-1.96
80,81,ZCC,598340.63,4746.1,0.009875,60591785.0,0.03,-0.37,-2.74
81,82,OBITS,596888.91,16823.2,0.1116,5349366.0,0.21,-11.03,-6.07
82,83,NLG,579434.84,1317.01,0.001923,301296449.0,1.57,3.65,-8.3
83,84,UNO,572220.17,510.96,2.9063,196891.0,2.59,-5.6,9.33
