,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,325037180854.75,16217776703.79,16908.24,19223600.0,0.01,-1.06,2.7
1,2,ETH,152151698373.37,5672609405.27,1243.33,122373866.0,-0.06,-3.94,3.1
2,3,USDT,65448401518.46,20609261957.48,1.0001,65444431361.0,0.0,0.0,0.05
3,4,BNB,46481371529.18,634607104.65,290.56,159969946.0,-0.07,-1.01,-6.69
4,5,USDC,43297629508.29,1795238577.16,0.9999,43299257836.0,-0.02,-0.01,-0.02
5,6,BUSD,22157403322.53,4321909802.7,1.0002,22152178551.0,0.07,-0.03,0.01
6,7,XRP,19508455690.89,496500335.5,0.3881,50260446248.0,-0.02,-2.05,-2.14
7,8,DOGE,13243695994.1,632114945.56,0.09982,132670764300.0,-0.16,-2.28,12.18
8,9,ADA,11010992667.58,228514875.82,0.3197,34446605476.0,0.3,0.08,1.87
9,10,MATIC,7888729905.93,224283182.34,0.9032,8734317475.0,-0.12,-4.55,6.68
10,11,DOT,6278846019.68,195742542.8,5.501,1141392886.0,-0.2,-2.28,3.75
11,12,DAI,5687447980.5,139770008.4,0.9996,5689859294.0,-0.02,-0.05,-0.03
12,13,LTC,5495983527.99,348753639.91,76.6,71751081.0,0.48,-1.74,0.29
13,14,SHIB,5058059840.97,121673808.39,9.21e-06,549063278876302.0,-0.06,-1.26,2.09
14,15,TRX,4941468178.66,150496347.63,0.05364,92126498644.0,-0.01,-1.44,1.61
15,16,SOL,4839921670.2,161314094.14,13.3,363836654.0,0.04,-3.01,-6.05
16,17,UNI,4649329363.29,97775211.28,6.0998,762209327.0,-0.1,-3.95,12.6
17,18,AVAX,4165570104.38,179887085.91,13.43,310139418.0,-0.72,-1.14,5.32
18,19,LINK,3679750654.25,209127716.97,7.2436,507999970.0,-0.16,-4.88,1.35
19,20,LEO,3608120856.12,3651961.6,3.7823,953954130.0,0.04,-4.43,-5.4
20,21,WBTC,3537340835.72,91153611.59,16832.89,210145.0,0.01,-1.3,2.96
21,22,ATOM,2875201521.12,81374256.85,10.04,286370297.0,0.01,-3.07,-0.64
22,23,ETC,2655330178.17,96276408.61,19.23,138063286.0,0.17,-3.15,-3.23
23,24,XMR,2646646856.19,76654089.2,145.35,18208907.0,0.65,-0.1,4.71
24,25,XLM,2223055463.72,45065499.05,0.08642,25722797376.0,-0.1,-1.91,-1.98
25,26,TON,2204426780.61,4878617.73,1.8048,1221401181.0,-0.11,0.16,5.0
26,27,BCH,2115019122.22,127942793.35,109.89,19246388.0,-0.05,-1.82,-2.27
27,28,ALGO,1694331798.18,49127944.14,0.2379,7121551549.0,0.09,-2.7,-1.09
28,29,CRO,1608641818.6,14638528.29,0.06368,25263013692.0,0.08,-2.0,-1.2
29,30,QNT,1526496930.9,33194418.55,126.44,12072738.0,-1.03,-3.08,4.44
30,31,FIL,1463229828.03,92694112.21,4.4223,330878191.0,0.07,-4.81,2.69
31,32,APE,1399940037.6,105172338.41,3.8753,361250000.0,-0.36,-2.51,8.9
32,33,NEAR,1392108288.29,58456589.71,1.6708,833208276.0,-0.11,-4.81,3.8
33,34,VET,1379919324.12,35502646.12,0.01903,72511146418.0,-0.09,-2.01,0.42
34,35,OKB,1301339518.74,13137057.86,21.69,60000000.0,-0.14,-2.29,3.11
35,36,ICP,1135074981.74,31895411.37,4.1367,274391572.0,0.13,-3.41,6.36
36,37,FLOW,1108360691.75,17610975.92,1.0696,1036200000.0,-0.34,-3.02,-4.85
37,38,HBAR,1092181848.17,10405703.92,0.04755,22968168351.0,-0.03,-2.81,-3.81
38,39,LUNC,1034716761.54,101753033.46,0.000173,5980770959357.0,0.24,-4.39,8.72
39,40,EGLD,1033534243.09,17435463.02,43.47,23776640.0,0.02,-0.85,-0.44
40,41,HT,1030009283.75,11755667.33,6.7164,153357694.0,-0.22,-2.29,-4.41
41,42,CHZ,1010487414.73,149148793.66,0.1646,6137379084.0,0.19,-3.09,-4.69
42,43,EOS,991699785.58,71986073.55,0.9217,1075941609.0,0.28,-2.25,-1.06
43,44,TWT,990408885.25,74862991.07,2.3771,416649900.0,-0.24,-2.94,18.22
44,45,USDP,942052560.5,924070.61,0.9962,945642940.0,0.02,-0.45,-0.18
45,46,XTZ,914889078.87,11979926.91,0.9962,918416866.0,-0.42,-3.16,0.98
46,47,THETA,886540047.45,11326857.42,0.8865,1000000000.0,0.43,-3.69,-2.91
47,48,AAVE,885259765.84,52110834.28,62.81,14093193.0,-0.01,-4.32,1.83
48,49,SAND,865766260.14,82527530.03,0.5774,1499470108.0,0.07,-4.59,2.24
49,50,XCN,833418150.23,9762716.36,0.03881,21472783889.0,0.09,-1.58,-5.72
50,51,TUSD,813819048.56,26414992.91,0.9991,814516817.0,0.01,-0.02,0.03
51,52,BSV,796758260.68,25077529.06,41.41,19241852.0,-0.15,-2.51,3.8
52,53,MANA,754649024.29,40916426.08,0.4068,1855084192.0,-0.32,-3.33,0.52
53,54,ZEC,719945318.48,34327127.83,45.46,15838325.0,0.31,-1.43,9.88
54,55,USDD,714044630.49,37045157.25,0.9844,725332036.0,0.0,-0.4,-0.69
55,56,AXS,672144026.35,40561086.78,6.7313,99854114.0,0.08,-4.34,1.23
56,57,APT,664017725.92,172182317.88,5.1078,130000000.0,-0.81,4.03,7.11
57,58,BTT,658820607.93,18875864.24,6.9e-07,947962000000000.0,-0.01,-1.67,1.67
58,59,CAKE,647389350.66,22453038.34,4.0039,161687863.0,-0.05,-0.53,-0.2
59,60,BIT,638955952.96,5921064.64,0.3056,2090946169.0,0.05,-2.36,2.61
60,61,KCS,632197128.65,561485.55,6.4261,98379861.0,0.02,-2.19,-7.0
61,62,MKR,626480466.29,14746330.18,640.81,977631.0,0.19,-0.9,0.09
62,63,GUSD,608644547.01,331062.28,1.0026,607049883.0,0.16,-0.38,-0.61
63,64,USDN,607010454.29,551954.75,0.8923,680266294.0,0.19,0.21,-2.72
64,65,FTM,604639301.42,127047546.65,0.2376,2545006273.0,-0.77,-3.04,27.88
65,66,MIOTA,584987104.71,6122865.56,0.2105,2779530283.0,-0.35,-1.59,-1.93
66,67,PAXG,580796294.96,5794987.02,1785.91,325209.0,0.01,-0.08,2.15
67,68,KLAY,564890287.91,18385897.17,0.1867,3025672344.0,-0.26,-2.74,2.54
68,69,XEC,559217831.1,4387464.81,2.906e-05,19242642173303.0,-0.83,-2.32,-0.63
69,70,DASH,497103887.31,65946244.91,45.05,11034183.0,-0.28,-1.41,9.77
70,71,NEO,480645102.01,25703540.0,6.8139,70538831.0,-0.14,-2.59,-2.48
71,72,RUNE,438457811.6,21243235.82,1.3259,330688061.0,-0.12,-3.8,11.43
72,73,GRT,434041815.69,11775904.94,0.0629,6900000000.0,-0.95,-3.21,-0.11
73,74,MINA,424914137.38,6048301.76,0.5579,761643620.0,-0.49,-3.28,2.48
74,75,SNX,423469469.18,12962231.13,1.7114,247441028.0,0.05,-4.53,3.16
75,76,FEI,421649680.92,320427.4,0.9921,424996178.0,0.01,0.04,-0.04
76,77,GMX,411896146.99,26492821.27,51.55,7990696.0,0.21,-7.23,16.32
77,78,ETHW,404920533.1,36975005.81,3.7697,107414957.0,-1.28,-3.88,11.81
78,79,GT,392085037.43,926539.08,3.6215,108265077.0,-0.02,-0.13,-0.98
79,80,NEXO,378837203.93,16116924.33,0.6765,560000011.0,1.76,4.71,-5.08
80,81,BAT,341399487.62,27065292.04,0.229,1490773355.0,-0.17,-3.28,0.75
81,82,LDO,341826419.28,15095978.63,1.0923,312951154.0,-0.06,-2.92,0.99
82,83,IMX,341047120.17,5537095.7,0.4745,718714290.0,-0.14,-1.87,11.26
83,84,LRC,337248735.94,38225610.5,0.2535,1330133546.0,-0.18,-2.02,5.65
84,85,CRV,337892901.82,37849950.58,0.6356,531583334.0,-0.18,-3.38,-9.65
85,86,STX,332399118.48,6471519.22,0.2467,1347111798.0,-0.01,-0.23,4.92
86,87,1INCH,323785109.45,27818146.29,0.488,663541876.0,-0.1,-3.16,-5.98
87,88,CSPR,317676712.96,4491214.19,0.03008,10560546901.0,0.06,0.33,-2.2
88,89,ZIL,308171343.7,14242748.79,0.02265,13608765110.0,-0.05,-2.14,0.64
89,90,KAVA,307656074.2,17917886.97,0.9082,338749530.0,-0.32,-1.31,5.68
90,91,AR,306424778.41,19759950.96,9.1759,33394701.0,-0.33,-4.18,-0.74
91,92,DCR,305873100.38,4773022.45,21.02,14553682.0,-0.08,-3.93,2.78
92,93,ENJ,303307015.86,31135072.54,0.3033,1000000000.0,-0.33,-3.28,-0.03
93,94,HNT,299815544.98,2559212.77,2.2352,134133537.0,-0.14,-4.59,-8.71
94,95,XEM,294144124.23,6510961.18,0.03268,8999999999.0,-0.17,-1.26,0.18
95,96,HOT,287941131.36,16382263.02,0.001661,173342974127.0,-0.15,-1.11,1.19
96,97,ENS,281491289.69,16093848.03,13.9,20244862.0,-0.54,-1.6,6.76
97,98,CELO,279736294.65,8872571.0,0.5842,478832129.0,0.03,-2.74,12.08
98,99,CVX,277803829.91,2561187.09,3.8655,71866812.0,-0.24,-3.48,-9.74
99,100,OSMO,277148319.63,4626990.58,0.9812,282464369.0,-0.06,-2.16,-4.21
