,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,79282191716.88,1968739456.0,4772.02,16613962.0,0.09,3.57,8.31
1,2,ETH,28261510285.03,559466752.0,297.39,95031250.0,-0.05,-3.53,-0.04
2,3,XRP,9719715243.14,610110400.0,0.2518,38597142499.0,0.85,-8.62,23.52
3,4,BCH,5239790632.95,288074944.0,314.16,16678700.0,2.7,-7.55,-24.48
4,5,LTC,2673981655.77,152365664.0,50.16,53304832.0,-0.41,-5.64,-6.07
5,6,DASH,2159197464.01,52085796.0,283.67,7611777.0,-0.42,-5.45,-8.44
6,7,XEM,1754375517.17,6003097.5,0.1949,8999999999.0,0.69,-0.23,-15.89
7,8,NEO,1455058097.84,98290328.0,29.1,50000000.0,-0.21,-8.52,-19.24
8,9,MIOTA,1304818508.0,18097128.0,0.4694,2779530283.0,0.45,-5.78,-18.21
9,10,XMR,1299077218.32,38063676.0,85.49,15196530.0,-0.73,-4.65,-6.31
10,11,BCC,1116087819.62,12646730.0,158.66,7034360.0,0.25,7.28,14.34
11,12,ETC,1107188489.06,40264060.0,11.5,96309143.0,-0.01,-5.15,-7.66
12,13,OMG,737486348.18,34823616.0,7.5015,98312024.0,-1.29,-3.59,-17.8
13,14,QTUM,712330966.95,57974020.0,12.07,59000000.0,0.26,6.72,2.62
14,15,ADA,573344701.53,4663312.0,0.02211,25927070538.0,-0.42,5.69,-15.58
15,16,ZEC,542425978.27,33586072.0,229.49,2363619.0,-0.4,-4.97,-11.13
16,17,LSK,532613665.04,14699959.0,4.6998,113326660.0,3.77,-0.39,-13.33
17,18,USDT,436965527.45,178566592.0,0.9998,437061577.0,-0.17,0.01,-0.12
18,19,WAVES,413093042.37,6698156.0,4.1309,100000000.0,0.31,-7.31,-15.69
19,20,STRAT,330621796.64,7796192.5,3.354,98575628.0,0.47,-4.31,-12.15
20,21,XLM,291957748.84,29343842.0,0.0176,16587516694.0,0.7,-5.07,36.76
21,22,STEEM,257980260.74,1756726.25,1.0613,243069787.0,3.16,-6.15,-19.24
22,23,HC,255053626.65,11988897.0,7.5674,33704266.0,0.25,5.24,7.9
23,24,BCN,246018250.17,1009459.63,0.001342,183253534612.0,0.69,4.26,3.19
24,25,ARK,232534246.52,2929329.75,2.3733,97981284.0,1.31,7.75,-14.51
25,26,EOS,220083033.59,6657950.5,0.5571,395021381.0,0.69,-7.43,-14.64
26,27,GAS,197158424.95,1015352.5,23.04,8556052.0,1.18,-3.2,-27.48
27,28,PAY,196573518.16,3114137.25,1.8782,104661310.0,-0.1,-0.33,-23.35
28,29,REP,195935485.84,924575.69,17.81,11000000.0,-1.64,-7.04,-7.77
29,30,BAT,189482733.61,3172310.5,0.1895,1000000000.0,-0.52,-0.32,-25.66
30,31,KNC,185401318.84,4111028.25,1.3435,137995600.0,-5.24,-10.88,-28.47
31,32,PIVX,183037092.93,1244397.88,3.3614,54452009.0,5.07,2.85,19.49
32,33,ARDR,181597558.09,2195523.0,0.1818,998999495.0,-0.93,6.43,-6.72
33,34,MAID,176713224.1,3135906.5,0.3905,452552412.0,-5.8,-8.08,-13.36
34,35,KMD,172900868.05,1203942.25,1.7128,100945510.0,0.01,-1.8,-22.0
35,36,SALT,167584274.84,2942423.75,3.0651,54675000.0,-2.64,-11.57,-51.69
36,37,GNT,161106597.61,2515752.0,0.1934,833032000.0,0.59,-2.4,-23.81
37,38,DCR,157490825.27,1145224.25,26.59,5922710.0,4.67,-2.28,-21.9
38,39,WTC,155026179.19,11961272.0,6.2264,24898178.0,-0.76,-11.54,-25.24
39,40,ICN,153012317.94,767764.56,1.5316,99900350.0,-0.06,-1.53,11.8
40,41,TRX,142021217.2,350959.88,0.002181,65115000000.0,10.61,-16.35,-23.09
41,42,DGD,141412750.24,243861.89,70.71,2000000.0,0.2,-4.27,-7.64
42,43,BNB,140378487.11,9667101.0,1.4038,100000000.0,2.38,8.01,-26.55
43,44,FCT,135062318.12,3143110.0,15.44,8745102.0,-0.35,-6.9,-9.75
44,45,LINK,133206006.88,6781681.0,0.3806,350000000.0,0.79,-5.3,5.33
45,46,SC,126238738.19,2599514.75,0.00421,29983618350.0,2.92,1.4,-18.21
46,47,GAME,118955260.98,2442235.0,1.8484,64355352.0,-0.41,-4.38,-23.4
47,48,VERI,116594450.65,260842.98,57.83,2016034.0,-6.24,2.26,-17.82
48,49,GNO,115600351.03,748578.13,104.65,1104590.0,-0.32,-7.49,-14.11
49,50,BTS,114126856.14,10708319.0,0.04389,2600270000.0,-1.02,-18.81,-43.18
50,51,MTL,113611359.83,3314683.75,5.8863,19300994.0,-0.67,-6.67,-34.84
51,52,PPT,111784726.63,292695.69,2.7098,41252246.0,1.18,4.4,10.47
