,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,128435063722.73,9169280000.0,7621.3,16852112.0,-2.66,-0.64,-25.01
1,2,ETH,73796311640.59,3896177920.0,757.07,97476433.0,-4.02,-2.81,-32.62
2,3,XRP,28238586119.66,1133366272.0,0.7239,39009215838.0,-1.97,-5.17,-36.41
3,4,BCH,16242326152.2,866221504.0,957.96,16955113.0,-3.86,0.13,-35.36
4,5,ADA,8826802106.23,679743680.0,0.3404,25927070538.0,-1.45,-5.08,-34.21
5,6,LTC,7617270756.93,817807744.0,138.2,55116633.0,-2.89,-2.27,-15.11
6,7,NEO,6662555046.08,571723520.0,102.5,65000000.0,-2.88,-1.82,-28.87
7,8,XLM,6306102740.87,188328368.0,0.3421,18432148840.0,-2.43,-5.51,-35.52
8,9,EOS,4987996435.35,762884416.0,7.614,655107858.0,-1.96,-6.97,-35.59
9,10,XEM,4830459415.38,59231264.0,0.5367,8999999999.0,-0.99,-6.07,-30.9
10,11,MIOTA,4447865816.35,65922616.0,1.6002,2779530283.0,-3.75,-1.04,-30.0
11,12,DASH,4108481687.45,79763616.0,521.99,7870842.0,-4.46,0.2,-24.81
12,13,XMR,3253380979.33,64730920.0,207.28,15695950.0,-4.5,-0.79,-24.3
13,14,USDT,2220252197.63,3307540480.0,1.0014,2217140814.0,-0.31,-0.16,0.71
14,15,LSK,2157794601.14,44931952.0,18.31,117831468.0,-4.39,2.71,-29.63
15,16,TRX,2152976976.22,204199792.0,0.03275,65748192475.0,-4.91,-7.5,-40.2
16,17,ETC,1810191523.8,212986816.0,18.16,99694119.0,-3.75,-4.04,-35.22
17,18,VEN,1805173055.69,77747328.0,3.871,466332509.0,-5.21,-5.75,-38.36
18,19,QTUM,1608735268.67,238850096.0,21.78,73865364.0,-3.63,-7.45,-45.85
19,20,BTG,1471873673.72,35079708.0,87.55,16810886.0,-3.04,-3.88,-43.49
20,21,ICX,1453896276.66,90748232.0,3.811,381495014.0,-3.59,-10.87,-49.34
21,22,NANO,1353888501.16,41359484.0,10.16,133248289.0,-6.65,-2.73,-47.16
22,23,PPT,1223008610.44,8227980.5,33.05,37004027.0,-4.47,-15.86,-52.84
23,24,ZEC,1144547602.26,95854568.0,354.35,3230019.0,-4.26,-2.33,-10.75
24,25,OMG,1112522828.78,36639612.0,10.9,102042552.0,-3.48,-1.72,-29.79
25,26,STEEM,909019035.77,60622244.0,3.6484,249157154.0,-1.54,-2.89,-27.55
26,27,BNB,801519111.86,77970264.0,8.095,99014000.0,-2.16,-0.9,-26.94
