,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,181017665264.46,43374780305.44,9934.43,18221237.0,0.89,0.2,-1.51
1,2,ETH,28518254585.36,25152366643.37,259.89,109730034.0,1.95,-2.27,14.55
2,3,XRP,12895529009.82,4025339058.21,0.295,43708646822.0,1.41,-4.85,5.03
3,4,BCH,7604392975.72,5449550841.45,415.94,18282400.0,1.49,-5.81,-6.96
4,5,BSV,5225615842.17,3044207062.91,285.87,18279852.0,2.4,-8.76,-17.2
5,6,LTC,4817137103.87,6186098306.25,75.15,64098084.0,1.87,-3.02,-1.92
6,7,USDT,4638989017.38,60160518245.92,0.9993,4642367414.0,0.12,-0.11,-0.41
7,8,EOS,4206364673.14,6654827622.17,4.4123,953337786.0,1.55,-6.9,-10.77
8,9,BNB,3649884928.76,471225913.48,23.47,155536713.0,1.34,-3.16,-2.0
9,10,XTZ,2255211170.19,227937928.06,3.2487,694191974.0,4.33,0.61,23.04
10,11,ADA,1624425324.75,206918460.16,0.06265,25927070538.0,2.72,-2.67,2.23
11,12,LINK,1576459991.97,640799698.71,4.5042,350000000.0,1.91,2.47,33.23
12,13,XMR,1542623269.59,152273796.63,88.42,17446612.0,1.99,-1.69,2.58
13,14,XLM,1515349949.35,632562189.26,0.07508,20183503732.0,1.83,-5.67,3.54
14,15,TRX,1497920272.92,1939185864.22,0.02246,66682072191.0,3.08,-5.24,2.48
15,16,HT,1176630078.2,634936366.67,5.0627,232411245.0,2.22,2.56,28.31
16,17,ETC,1120733694.2,2727702320.5,9.6355,116313299.0,1.49,-7.45,-16.81
17,18,DASH,1042859779.2,935525392.16,111.78,9329937.0,1.26,-8.17,-11.92
18,19,NEO,1042133346.07,1183219697.52,14.77,70538831.0,1.67,-2.5,6.04
19,20,LEO,967450343.27,7913113.21,0.9679,999498893.0,0.28,0.07,-0.78
20,21,CRO,851068312.86,18574389.77,0.0621,13705022831.0,0.35,-1.38,1.12
21,22,ATOM,838046641.65,315050585.81,4.3948,190688439.0,0.86,-4.55,-6.54
22,23,FLG,776470367.2,767257.16,48.92,15872258.0,1.83,2.01,289.01
23,24,MIOTA,774688058.94,24126817.51,0.2787,2779530283.0,1.02,-4.31,-12.91
24,25,HEDG,767948558.53,1431913.73,2.6646,288208798.0,1.34,1.11,0.29
25,26,MKR,626820980.11,8359384.57,634.71,987568.0,1.94,3.82,8.41
26,27,XEM,597692516.23,53700012.34,0.06641,8999999999.0,3.26,-3.59,2.99
27,28,ONT,579736633.94,237611202.18,0.9096,637351170.0,2.47,-5.72,0.4
28,29,ZEC,544854885.69,815197186.46,60.5,9006269.0,2.25,-7.05,-14.23
29,30,USDC,429727972.87,926497188.97,1.0096,425627483.0,-0.03,-0.19,-1.53
30,31,OKB,404658743.29,523888927.37,6.7443,60000000.0,0.22,0.6,69.41
31,32,VET,395584175.29,153285961.04,0.007133,55454734800.0,1.31,-4.89,4.71
32,33,INO,395151807.21,4426.13,2.1952,180003180.0,1.65,21.27,7.06
33,34,BAT,377851978.94,91629012.28,0.2643,1429847364.0,0.18,-6.49,-2.07
34,35,DOGE,342218086.66,149831932.65,0.002774,123351013003.0,2.53,-4.88,-13.58
35,36,MIN,308040306.56,6805798.53,1.8088,170303676.0,0.83,0.62,-7.74
36,37,FTT,286726602.45,55616307.07,2.9641,96732423.0,4.97,17.44,23.48
37,38,PLF,256408737.74,4678800.86,0.5128,500000000.0,0.07,0.11,4.6
38,39,QTUM,242051826.79,705898882.51,2.5112,96389180.0,1.39,-7.25,-5.79
39,40,LSK,236993247.7,11244586.62,1.9417,122055569.0,4.02,6.6,-9.67
40,41,DCR,227760159.65,113367489.19,21.11,10786831.0,0.87,-2.0,-1.79
41,42,PAX,208327775.31,381810485.89,0.9975,208848528.0,-0.04,-0.29,-0.51
42,43,RVN,195890111.89,32917807.54,0.03544,5528130000.0,1.28,-5.18,2.72
43,44,BTG,195659220.65,38978588.75,11.17,17513924.0,3.84,-3.4,-15.37
44,45,ALGO,192358701.04,84144117.81,0.3418,562699213.0,4.22,1.0,1.27
45,46,ZRX,187261271.38,46528689.15,0.299,626286727.0,2.24,-6.13,1.84
46,47,INB,186751290.81,6564932.89,0.5337,349902689.0,0.06,-1.86,-6.33
47,48,ICX,182045838.49,39852486.17,0.3487,522009560.0,2.38,-3.17,-21.13
48,49,THX,169494200.43,230931.64,7.828,21652254.0,0.85,-0.01,-3.07
49,50,THR,167191269.63,230652.97,1928.7,86686.0,0.85,0.12,-1.68
50,51,OMG,167017872.58,143628966.2,1.1909,140245398.0,1.99,-8.03,5.15
51,52,REP,165915290.2,26128306.72,15.08,11000000.0,2.75,-1.48,-9.19
52,53,HBAR,163753717.25,28202192.93,0.05175,3164062654.0,3.61,8.77,155.02
53,54,PZM,157349896.81,697820.66,0.3167,496892516.0,1.39,-8.7,5.68
54,55,ZB,157162153.59,53513136.07,0.3392,463288810.0,4.01,-4.91,7.96
55,56,SNX,155812665.19,1626828.18,0.9453,164836054.0,2.92,-0.39,4.23
56,57,XET,155582790.25,6675.3,1.6645,93470000.0,0.84,12.94,-12.33
57,58,MONA,152238064.87,14213948.38,2.3161,65729675.0,1.51,3.2,21.77
58,59,BCD,144674559.25,12317110.59,0.7758,186492898.0,3.26,-7.56,-20.74
59,60,TUSD,142481126.4,1051477751.63,0.9974,142846608.0,0.13,-0.1,-0.58
60,61,NANO,142346133.48,11535725.93,1.0683,133248297.0,0.97,-4.73,10.58
61,62,WAVES,139765956.47,91025927.35,1.3816,101159572.0,1.58,-6.41,23.92
62,63,HOT,135873861.74,14881493.27,0.000836,162524331023.0,2.17,-2.37,3.55
63,64,DAI,125599792.06,24721715.93,0.9912,126715191.0,0.18,0.24,-1.63
64,65,XIN,122261013.32,3020845.87,257.99,473897.0,1.2,-2.41,-7.16
65,66,THETA,119367151.36,10275630.14,0.1371,870502690.0,3.03,-9.03,13.23
66,67,NEXO,117518904.33,18985786.9,0.2099,560000011.0,3.6,1.96,9.27
67,68,BTT,117515337.31,113345164.93,0.000554,212116500000.0,3.67,0.5,18.38
68,69,SC,117315007.58,7800792.68,0.002805,41817047634.0,5.31,-4.33,29.19
69,70,CNX,115599468.94,2173888.62,2.0759,55686329.0,0.86,0.51,-4.37
70,71,ZEN,110246810.61,2096683.19,13.07,8436713.0,1.33,-4.24,10.32
71,72,KCS,103363750.45,9019285.27,1.2628,81850451.0,1.37,0.43,1.5
72,73,DGB,102112744.38,1893660.32,0.007959,12830013630.0,1.41,-1.48,6.31
73,74,BTM,99204991.5,25620425.18,0.09896,1002499275.0,3.1,-5.86,-11.65
74,75,ENJ,98846487.9,15974623.85,0.1236,799795258.0,1.73,-6.08,-6.57
75,76,CKB,96707279.2,8673809.27,0.007236,13365182702.0,2.75,-3.73,5.67
76,77,KMD,96537419.08,7088272.1,0.8154,118399050.0,2.95,-8.14,2.58
77,78,GTN,95889397.7,3243607.69,0.3874,247499428.0,0.15,-0.67,-1.26
78,79,BCN,94810283.61,76927.09,0.0005151,184066828814.0,-3.79,-4.55,50.41
79,80,MCO,92141303.94,26119420.37,5.834,15793831.0,2.54,2.58,-0.92
80,81,DGD,91283457.99,2200329.18,45.64,2000000.0,2.36,-2.55,9.52
81,82,BTS,90682900.5,25502279.09,0.03299,2749070000.0,2.17,-5.68,-8.56
82,83,BOTX,89460762.39,767171.91,0.05481,1632102305.0,2.1,-2.0,15.53
83,84,HC,88089841.84,94027816.28,1.9789,44513965.0,3.5,-10.22,-14.76
84,85,MOF,85551486.36,10831673.31,1.0051,85115097.0,-0.73,-10.63,-22.75
85,86,SXP,83583386.06,20251627.44,1.3675,61123111.0,1.15,-0.14,-7.13
86,87,STEEM,82322780.27,4542914.02,0.2343,351355127.0,1.78,-8.19,14.93
87,88,IOST,80929196.3,75526105.53,0.006736,12013965609.0,0.17,-9.72,-10.53
88,89,XTP,80791055.0,784617.68,0.1557,518802335.0,2.77,-3.55,-23.43
89,90,VSYS,80642948.64,3558588.98,0.0419,1924595718.0,1.17,-5.96,-16.7
90,91,XVG,79722536.41,3535880.73,0.004927,16179454359.0,1.23,-5.32,4.81
91,92,CENNZ,79679008.95,225324.53,0.09458,842470069.0,1.34,-0.44,38.75
92,93,FXC,78019991.45,96424.65,0.002923,26688541667.0,-1.14,-2.79,20.61
93,94,ZIL,78001091.6,21657917.5,0.007873,9907241813.0,2.15,-4.47,0.68
94,95,EON,74913079.65,3750891.53,0.306,244783561.0,0.28,-0.8,-1.05
95,96,LUNA,73072274.84,3451276.26,0.2539,287765804.0,1.37,-1.53,13.07
96,97,KNC,72900822.71,12952994.34,0.42,173590295.0,3.14,-1.74,18.62
97,98,WAXP,70814955.92,19338473.78,0.0683,1036834316.0,4.94,12.4,130.83
98,99,CCA,70306745.18,117765.39,4.735,14848323.0,0.85,0.92,1.46
99,100,GAP,69136208.26,3440807.77,6.9136,10000000.0,0.11,0.43,9.53
100,101,SNT,68098871.82,42700478.26,0.01962,3470483788.0,1.47,-6.44,14.03
101,102,DX,65977149.19,1595602.01,0.00132,50000000000.0,-0.45,0.6,27.2
102,103,ELF,65876367.78,91984604.5,0.121,544480200.0,1.59,-7.1,23.26
103,104,AE,65076811.56,21857993.89,0.2158,301491371.0,2.9,-7.6,-6.78
104,105,MB,64579364.24,349591.95,0.03529,1830117455.0,1.21,0.73,13.91
105,106,GNT,64517498.96,9622200.95,0.06583,980050000.0,2.75,-10.45,22.83
106,107,SEELE,63968883.32,30706252.19,0.09144,699587206.0,0.76,-6.88,-6.72
107,108,ARDR,62540392.57,3304696.11,0.0626,998999495.0,0.75,-4.81,8.52
108,109,CHZ,62114858.02,13503661.85,0.0136,4567133626.0,1.74,-3.87,30.48
109,110,XZC,62033239.16,20945957.27,6.5401,9484993.0,2.28,-8.65,-15.77
110,111,FAB,61990267.13,7369502.86,0.01293,4794443397.0,2.74,11.59,-12.8
111,112,MANA,60357306.55,32123493.52,0.05748,1050141509.0,2.31,-3.54,-8.55
112,113,BDX,58435132.06,192520.94,0.05961,980222595.0,0.84,-7.15,-3.43
113,114,NOAH,57733611.89,718.26,0.001766,32687957978.0,0.0,34.04,26.6
114,115,NPXS,55121909.39,8720621.25,0.0002352,234308006047.0,4.4,-0.46,20.79
115,116,BRZE,54634039.37,117534.67,0.5463,100000000.0,0.86,0.14,-2.57
116,117,ABBC,54176895.98,39010795.67,0.09754,555416914.0,0.42,-0.5,-6.57
117,118,REN,53557077.3,4941923.24,0.06504,823403651.0,3.37,6.79,10.76
118,119,RIF,52458430.21,8339381.02,0.09212,569460014.0,1.08,-0.64,-2.33
119,120,RLC,51638829.17,776543.1,0.6449,80070793.0,1.06,-6.26,-10.81
120,121,MATIC,51579355.58,47564820.57,0.02016,2558503686.0,0.39,-3.89,-8.58
121,122,QNT,51497553.23,2763569.93,4.2656,12072738.0,1.65,-3.72,-2.31
122,123,MAID,51366979.32,428326.28,0.1135,452552412.0,3.15,14.78,-0.33
123,124,BXK,50610635.77,584041.42,0.1374,368387491.0,4.14,2.76,-8.25
124,125,BTMX,49706554.9,4421657.8,0.07462,666156379.0,1.37,-4.37,-17.18
125,126,CIX100,49290534.11,65452.04,0.7898,62409782.0,1.64,-1.73,0.64
126,127,BNK,48923458.25,6697.04,0.001987,24618912108.0,0.87,-0.12,-0.6
127,128,HPT,47090855.63,3685230.46,0.009347,5038037871.0,2.99,0.87,26.0
128,129,STX,46799420.62,1638434.99,0.1629,287282568.0,0.59,-5.94,-1.83
129,130,AION,46750537.58,12128369.44,0.1195,391140663.0,1.35,-6.1,-11.53
130,131,LEND,46642784.97,5107856.16,0.03588,1299999942.0,-5.38,12.5,9.28
131,132,QC,43558810.21,692282990.47,0.1405,310000100.0,-0.14,-0.3,-0.57
132,133,STRAT,43452081.53,2546559.69,0.4359,99685126.0,1.76,-13.82,-1.46
133,134,SOLVE,43232788.83,5839993.57,0.132,327424138.0,2.08,-7.93,9.65
134,135,GRIN,42495930.68,45786139.79,1.2431,34185480.0,0.77,-6.38,-14.97
135,136,NRG,42135072.13,619341.84,1.6054,26245665.0,1.44,-6.01,-18.11
136,137,POWR,41954447.13,37955513.3,0.09826,426970728.0,5.38,-16.86,68.85
137,138,BEAM,41765386.62,43616592.34,0.753,55466760.0,1.75,-8.79,-11.72
138,139,FST,40445645.31,63370.95,1.0145,39865911.0,1.72,-8.82,-19.45
139,140,ADK,39874926.65,6029246.92,1.595,25000000.0,1.39,-0.31,6.66
140,141,YAP,39571506.48,10041605.62,0.2638,150000000.0,-1.85,-2.42,-3.3
141,142,ONE,39061987.4,34434172.17,0.004134,9449081034.0,1.01,0.41,-1.87
142,143,WICC,38531698.67,4640999.82,0.2039,189000000.0,5.1,-27.92,-0.91
143,144,ETN,38437192.07,101982.42,0.003845,9997476846.0,0.1,1.81,-6.38
144,145,TOMO,38351480.45,102605361.63,0.5499,69741275.0,4.57,-1.56,10.5
145,146,LRC,38257605.67,5656429.38,0.03862,990643706.0,3.45,-11.7,1.48
