,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,6347159315.73,,522.7,12143025.0,-3.99,-22.56,-40.45
1,2,LTC,322147594.75,,13.39,24055992.0,-7.58,-37.91,-56.68
2,3,XRP,123933328.99,,0.01585,7817889792.0,-3.32,-11.86,-58.02
3,4,PPC,46723144.99,,2.2319,20933974.0,-4.88,-28.81,-51.57
4,5,NMC,22565668.98,,3.0003,7521143.0,-2.66,-26.8,-53.97
5,6,QRK,18601266.97,,0.07546,246514896.0,-3.89,-35.99,-65.48
6,7,PTS,11947054.29,,10.24,1166144.0,-9.95,-17.92,-46.61
7,8,WDC,9019518.25,,0.2509,35946984.0,-10.18,-24.75,-63.14
8,9,MEC,7026118.24,,0.3293,21336124.0,-9.91,-26.07,-68.1
9,10,XPM,6457947.18,,1.7772,3633817.0,-3.88,-29.08,-55.51
10,11,NXT,6256719.12,,0.006257,1000000000.0,2.7,-10.15,-11.38
11,12,FTC,5445800.29,,0.2039,26714350.0,-4.15,-32.46,-56.71
12,13,NVC,5208144.44,,9.9365,524141.0,-7.85,-23.62,-45.11
13,14,DVC,3276013.51,,0.0005541,5912719872.0,-4.81,-41.92,0.28
14,15,ZET,3195514.75,,0.02012,158791632.0,-6.29,-22.14,-70.43
15,16,DOGE,3188942.81,,0.0003616,8818224128.0,18.03,34.55,
16,17,FRC,2523505.01,,0.07318,34484476.0,-5.27,-19.26,-55.11
17,18,IFC,2171634.35,,2.442e-05,88924143616.0,0.23,-27.32,-55.32
18,19,DGC,2141624.6,,0.1856,11539881.0,-10.66,-32.6,-27.82
19,20,CLR,2103829.97,,0.3978,5288999.0,-8.97,-24.68,21.93
20,21,IXC,1793279.33,,0.1045,17154002.0,7.42,-39.44,-28.87
21,22,ANC,1661024.55,,2.783,596840.0,-0.85,-26.51,-60.64
22,23,CBX,1534170.17,,1.6624,922850.0,-4.91,-24.69,-50.5
23,24,TRC,1362495.34,,0.2927,4654730.0,-5.02,-25.73,-61.93
24,25,GLC,1294252.7,,0.0447,28956740.0,-5.02,-36.22,-57.48
25,26,BQC,1057366.99,,0.03663,28865504.0,-1.42,-29.43,-65.92
26,27,DTC,691969.4,,0.4783,1446848.0,-2.04,-20.27,-51.3
27,28,SXC,682229.69,,0.01494,45669224.0,-8.68,-52.26,-85.06
28,29,FST,675621.72,,0.01478,45722008.0,-16.94,-37.38,-61.32
29,30,DEM,563597.08,,0.23,2450550.0,14.75,-38.01,
30,31,YAC,541419.85,,0.04193,12912164.0,-3.33,-36.84,-66.06
31,32,GDC,514726.59,,0.002033,253148000.0,-2.96,-25.87,
32,33,TIX,508331.54,,7.66e-06,66326319104.0,-7.14,-40.96,-69.32
33,34,SBC,459310.21,,0.05228,8785505.0,-10.95,-46.44,-81.12
34,35,NET,448567.76,,0.00248,180889344.0,-8.69,-44.95,
35,36,BET,424298.34,,0.1038,4089388.0,25.93,-28.77,
36,37,FLO,414921.87,,0.01236,33573300.0,-5.73,-37.87,-74.97
37,38,MNC,382348.53,,0.2613,1463004.0,-3.32,-26.15,-54.22
38,39,I0C,324618.08,,0.01621,20027118.0,-3.99,-45.34,-65.59
39,40,GLC,320074.22,,0.0127,25199500.0,-10.84,-39.98,-55.85
40,41,BTB,306368.45,,35.8,8557.0,20.41,-21.03,-52.88
41,42,PHS,251084.61,,0.1673,1501128.0,7.26,,
42,43,TAG,241524.1,,0.4757,507764.0,-3.99,-24.32,-68.67
43,44,LKY,201384.86,,0.02152,9355952.0,-0.42,-25.32,-53.8
44,45,BTE,174706.36,,0.1045,1671192.0,17.75,-18.52,-55.8
45,46,FRK,172356.15,,2.0908,82435.0,-4.44,-17.03,-53.33
46,47,PXC,162489.14,,0.0225,7222700.0,-3.71,-50.66,-63.44
47,48,CSC,157238.2,,0.02878,5463480.0,-3.32,-26.97,
48,49,ARG,156250.15,,0.299,522603.0,-2.14,-26.96,-48.91
49,50,SPT,118271.75,,0.03665,3226746.0,-7.15,-28.85,
50,51,GME,116151.23,,0.001085,107020800.0,-21.33,-51.66,
51,52,NRB,111738.34,,0.0592,1887440.0,-0.06,-23.91,-68.8
52,53,CRC,107446.5,,0.4544,236445.0,-10.29,-29.78,-37.43
53,54,EZC,79576.04,,0.006623,12014250.0,-5.1,-37.19,
54,55,JKC,74574.93,,0.008327,8956100.0,-11.13,-36.21,-50.53
