,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,1338095525896.63,34691905492.17,67813.34,19732040.0,-1.2,-0.15,0.97
1,2,ETH,390454435487.22,15198233287.39,3247.61,120228315.0,-0.87,-0.87,-7.72
2,3,USDT,114339115763.99,55047490100.19,1.0001,114329209287.0,0.01,-0.01,-0.04
3,4,SOL,85548454321.5,3248901126.0,184.09,464721549.0,-0.97,0.52,5.86
4,5,BNB,84875696820.01,1760015334.57,581.59,145937639.0,-0.46,0.09,-2.02
5,6,USDC,34159226093.59,5532713251.11,1.0001,34157353004.0,0.01,-0.01,0.01
6,7,XRP,33397172497.31,1007994247.02,0.5968,55960868753.0,-0.65,-1.2,0.36
7,8,DOGE,19119489861.61,1193072780.97,0.1316,145293756384.0,-1.2,-2.03,-2.11
8,9,TON,16732754965.72,158446809.03,6.6491,2516533322.0,-0.24,-1.04,-8.57
9,10,ADA,15016556002.68,430162295.56,0.4182,35907788601.0,-0.59,0.11,-4.44
10,11,TRX,11949546381.11,214453550.22,0.1373,87059058287.0,0.13,-0.22,1.87
11,12,AVAX,11088787854.0,294617908.89,28.08,394831890.0,-1.1,-2.17,-3.59
12,13,SHIB,10040011248.55,273052788.76,1.704e-05,589270540947438.0,-1.02,0.45,-5.95
13,14,DOT,8384827376.2,118935693.21,5.8311,1437953431.0,-0.89,-0.66,-7.99
14,15,LINK,8250351678.94,231771369.51,13.57,608099970.0,-1.05,0.2,-4.91
15,16,BCH,7739675260.37,287635434.43,392.1,19738784.0,-0.74,3.88,-0.89
16,17,NEAR,6287010131.51,214967751.72,5.6848,1105929909.0,-1.61,-0.7,-9.63
17,18,LEO,5382416224.88,753108.76,5.8133,925883092.0,-0.15,-0.4,2.24
18,19,DAI,5347255134.9,130386208.95,0.9999,5347888596.0,0.0,-0.01,-0.01
19,20,LTC,5337778904.17,243026963.43,71.36,74797631.0,-0.39,0.04,-2.34
20,21,MATIC,5124581815.91,170157669.94,0.5178,9897761748.0,-0.62,0.58,-4.44
21,22,PEPE,5012219397.63,676884961.0,1.191e-05,420689899999995.0,-1.39,-1.06,-2.54
22,23,UNI,4609628079.72,112833987.37,7.6823,600034295.0,-0.69,-0.01,-4.17
23,24,KAS,4593187362.13,140696299.21,0.189,24300080279.0,-0.56,4.06,4.35
24,25,ICP,4529836144.83,89850330.68,9.6962,467177115.0,-1.19,-0.21,-6.14
25,26,ETC,3383490282.99,121598210.86,22.85,148092952.0,-0.94,-0.38,-4.54
26,27,APT,3347549706.15,111852177.93,7.1421,468708453.0,-0.6,2.41,-3.12
27,28,FET,3217942435.31,110188957.9,1.277,2520000000.0,-1.56,-0.27,-12.56
28,29,XMR,2997955025.16,77803378.51,162.52,18446744.0,-0.65,0.56,-0.55
29,30,XLM,2979746856.88,54700301.83,0.1015,29347674652.0,-0.6,-1.58,-3.6
30,31,STX,2873618768.12,167874109.35,1.9465,1476264248.0,-2.25,4.9,1.81
31,32,MNT,2671851397.38,115047459.03,0.8179,3266841708.0,-0.86,-4.19,-8.99
