,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,1210715199477.56,36084893887.38,64155.94,18871443.0,0.63,-1.22,4.96
1,2,ETH,552199380998.48,18316060207.7,4667.12,118317061.0,0.8,-1.34,4.03
2,3,BNB,104524694777.28,2209163397.75,626.64,166801148.0,0.73,-0.52,2.96
3,4,USDT,73868299503.29,82883678292.68,1.0001,73859886039.0,0.0,-0.05,-0.14
4,5,SOL,69224723049.22,3022054714.32,228.5,302950056.0,0.03,-2.45,-3.37
5,6,ADA,68121624437.09,2818140241.2,2.0458,33298838778.0,-0.06,-1.91,3.0
6,7,XRP,56088750725.01,4230289447.99,1.1894,47158974920.0,0.15,-2.38,2.4
7,8,DOT,45310935971.63,2018292418.98,45.88,987579315.0,0.56,-3.71,-11.59
8,9,USDC,34400121895.17,4901205329.76,0.9993,34424351584.0,-0.07,-0.06,-0.13
9,10,DOGE,34265081094.79,1563007445.81,0.2594,132086281527.0,0.53,-0.67,-0.78
10,11,SHIB,28727647335.7,2888701213.72,5.232e-05,549095509738353.0,0.51,-7.63,-16.23
11,12,LUNA,23088093944.8,809639806.48,49.56,465882245.0,0.8,-2.05,-0.83
12,13,AVAX,18663761156.14,676532795.91,84.72,220286577.0,0.47,-3.79,13.93
13,14,LTC,17347313091.05,4974432912.17,251.56,68959395.0,0.46,-4.38,26.07
14,15,LINK,15933795569.78,1492228341.73,34.27,465009554.0,0.35,-1.64,4.09
15,16,UNI,15425389546.98,295180945.79,24.58,627596089.0,0.57,-3.46,-4.03
16,17,WBTC,15355833026.93,222984927.39,64214.86,239132.0,0.32,-1.38,4.9
17,18,BUSD,13515539438.0,6899737940.39,0.9981,13541249920.0,-0.19,-0.32,-0.25
18,19,ALGO,13427832344.41,1695116316.62,2.1505,6244189904.0,0.94,5.87,16.35
19,20,BCH,12629722104.66,1390603000.94,668.28,18898788.0,0.21,-1.29,11.59
20,21,MATIC,11843288425.62,879043211.47,1.7157,6902890164.0,-0.02,-2.49,-9.77
21,22,VET,10216333231.24,674663063.97,0.1588,64315576989.0,0.38,-4.02,-0.05
22,23,XLM,9221300415.18,775630899.2,0.3795,24299917292.0,0.38,-3.21,5.41
23,24,CRO,9095795158.09,171066168.15,0.36,25263013692.0,2.05,3.31,-5.25
24,25,AXS,8735673914.33,553079413.48,143.43,60907500.0,1.03,-2.24,-5.59
