,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,204761455132.91,24617249714.51,11100.47,18446200.0,-1.32,1.66,17.39
1,2,ETH,35626126751.04,10878845706.02,318.19,111964637.0,-1.01,0.57,24.17
2,3,XRP,10902698156.72,2022835116.31,0.2431,44848773395.0,-1.27,5.32,20.29
3,4,USDT,10023620101.95,31945080196.3,1.0025,9998221723.0,0.1,0.14,0.21
4,5,BCH,5327881679.7,1920329028.14,288.37,18475588.0,-0.87,-0.38,22.44
5,6,BSV,3942351462.1,1685108192.63,213.4,18474040.0,-1.72,-0.35,18.9
6,7,ADA,3626663356.36,451915306.63,0.1399,25927070538.0,-0.16,-5.57,13.4
7,8,LTC,3593728339.41,2572759911.15,55.17,65136810.0,-0.74,-0.66,24.15
8,9,CRO,3022115588.85,114354886.86,0.1635,18488127854.0,-0.95,2.41,12.07
9,10,BNB,2873053585.06,204440431.67,19.9,144406560.0,-0.42,-1.66,10.6
10,11,EOS,2828409162.53,2339032886.43,3.0258,934749593.0,-1.65,1.01,14.72
11,12,LINK,2490629028.46,577077883.99,7.1161,350000000.0,0.74,-1.69,-5.61
12,13,XTZ,2056179852.0,135216953.73,2.7862,737997531.0,0.14,-2.02,-8.01
13,14,XLM,1952072761.12,241946097.77,0.09529,20486032994.0,-0.43,-1.59,-2.19
14,15,HEX,1552777268.79,4127636.22,0.005847,265557576570.0,-0.58,3.5,40.07
15,16,XMR,1396775371.15,93331669.84,79.15,17648117.0,-1.51,-2.87,11.9
16,17,TRX,1384848244.86,561417584.0,0.01933,71659657369.0,-0.92,1.0,8.88
17,18,LEO,1251232609.42,16861038.86,1.2519,999498893.0,0.09,0.08,6.43
18,19,USDC,1161180227.65,344833565.08,1.0001,1161121812.0,0.05,0.13,0.01
19,20,HT,955384412.22,112205780.24,4.4274,215789733.0,-0.53,-0.09,3.32
20,21,VET,866231454.05,148799672.7,0.01562,55454734800.0,-0.41,-2.53,-10.03
21,22,ETC,845734832.05,923782909.98,7.2712,116313299.0,-1.23,0.68,15.19
22,23,NEO,825478152.82,239367040.39,11.7,70538831.0,-1.12,-0.26,2.03
23,24,MIOTA,795155342.04,21997987.61,0.2861,2779530283.0,-0.9,5.07,3.23
24,25,DASH,786665012.33,324260578.78,81.74,9623511.0,-1.45,2.62,12.63
25,26,ZEC,702651811.62,243059689.91,72.43,9700756.0,-0.9,2.04,15.21
26,27,ATOM,694190097.47,107518753.87,3.6404,190688439.0,-0.49,-3.24,-9.02
27,28,MKR,548605831.49,13796888.63,545.56,1005577.0,0.59,5.8,12.05
28,29,ONT,482279786.21,89858168.66,0.6899,699029877.0,-0.62,-1.72,-6.78
29,30,XEM,463657707.6,11686078.26,0.05152,8999999999.0,-0.38,1.06,2.0
30,31,INO,439000882.18,510209.46,2.4389,180003180.0,-0.85,1.45,14.13
31,32,LEND,409070247.51,55428249.81,0.3147,1299999942.0,2.96,10.28,1.72
32,33,HEDG,408351510.27,892972.28,1.4169,288208798.0,-1.08,5.78,1.39
33,34,DOGE,400999633.63,55817190.95,0.003192,125610733263.0,-0.26,-0.11,-2.25
34,35,AMPL,378983044.57,63200226.41,1.1854,319719411.0,-9.86,-28.77,-44.05
35,36,BAT,367868448.19,139057270.69,0.2474,1487012637.0,-0.77,-1.91,-6.19
36,37,INB,364628183.21,4154876.27,1.0421,349902689.0,0.19,-1.91,6.58
37,38,CCXX,361792528.23,482337.07,20.43,17710319.0,0.1,1.41,0.14
38,39,OKB,348103766.34,142655564.83,5.8017,60000000.0,-0.1,-0.91,8.02
39,40,COMP,341946262.85,26454264.32,133.51,2561279.0,1.0,-2.12,-15.26
40,41,ERD,336289444.28,52251563.25,0.02524,13323533427.0,-1.97,-6.77,57.32
41,42,DAI,330936555.89,18873977.83,1.0322,320606262.0,-0.1,0.96,1.07
42,43,FTT,314132630.19,10587517.22,3.3295,94346958.0,-1.09,0.08,11.75
43,44,DGB,313170672.69,19371242.35,0.02338,13394331032.0,-1.06,-2.04,5.98
44,45,SNX,293958762.26,24274579.92,3.2864,89445960.0,-0.53,-2.06,-7.78
45,46,KNC,277946927.15,75479793.34,1.4215,195536022.0,1.62,-3.02,-14.04
46,47,ZRX,270842234.02,58552324.4,0.3855,702494632.0,-0.56,0.29,-4.16
47,48,BTT,254148198.86,24703062.81,0.0003851,659952625000.0,-0.47,0.77,-2.2
48,49,TNC,251099122.6,22462171.11,0.1087,2310424689.0,-0.86,2.15,12.15
49,50,PAX,244774580.41,169317650.68,0.9993,244951954.0,-0.05,0.08,0.07
50,51,ALGO,238378536.47,50534906.2,0.3089,771817007.0,-0.85,-1.9,-10.9
51,52,VEST,229753175.7,56195.77,0.02597,8848000000.0,-2.02,-19.56,-65.36
52,53,QTUM,228545588.51,258870711.61,2.3586,96900064.0,-0.92,-0.71,0.32
53,54,HYN,228541465.05,14259004.65,0.7215,316765917.0,-0.02,1.3,6.1
54,55,OMG,227316954.02,84236187.39,1.6209,140245398.0,1.66,1.24,-4.96
