,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,4762242508.91,29362562.0,320.05,14879875.0,0.01,-0.8,-4.36
1,2,XRP,140641754.11,197940.11,0.004242,33156211683.0,0.06,-1.02,-0.44
2,3,LTC,134592863.82,1510055.38,3.1078,43307635.0,-0.06,-0.49,-2.93
3,4,ETH,67487369.81,524194.63,0.9002,74970040.0,-1.18,-4.66,-7.98
4,5,DOGE,13031914.59,54655.64,0.0001278,101952613283.0,0.01,-1.47,-3.21
5,6,DASH,12510598.46,24756.57,2.0808,6012383.0,-0.16,-2.38,-8.13
6,7,XLM,9033385.68,928.41,0.001867,4837356606.0,0.84,-1.57,-5.76
7,8,PPC,8637714.03,23177.66,0.379,22792334.0,0.4,1.88,-4.22
8,9,BTS,8254471.6,66032.27,0.003258,2533766985.0,0.02,-2.34,-5.33
9,10,NXT,5817365.7,35980.48,0.005817,999997096.0,-0.22,-1.48,-7.77
10,11,MAID,5266212.66,7940.67,0.01164,452552412.0,0.09,-2.76,-24.79
11,12,NMC,4934952.25,8566.65,0.3804,12971400.0,-0.25,-1.61,-5.85
12,13,NSR,4754709.2,1740.69,0.005743,827970612.0,0.01,1.57,9.94
13,14,BCN,4191614.77,8588.42,2.36e-05,177607567419.0,-1.27,0.53,-12.71
14,15,GRC,4003898.7,3199.0,0.01081,370268660.0,2.49,4.24,1.8
15,16,XMR,3959605.05,13449.13,0.3901,10148985.0,-0.24,0.23,-9.07
16,17,RBY,3015173.64,7656.39,0.1345,22422194.0,-0.23,-1.11,4.56
17,18,XCP,2379288.91,2421.76,0.9033,2634086.0,3.21,13.41,1.16
18,19,YBC,2028511.4,47074.47,0.6762,3000000.0,-0.61,-0.01,-3.26
19,20,MONA,1866173.51,3540.5,0.07411,25182000.0,0.34,6.09,4.02
20,21,BLK,1815810.74,14293.33,0.02418,75106144.0,-0.06,1.89,0.68
21,22,EMC,1578932.19,921.89,0.04322,36536293.0,-4.37,-4.27,-9.03
22,23,GEMZ,1329681.74,882.22,0.01509,88135217.0,4.67,3.92,-11.95
23,24,DGB,1156028.85,13185.69,0.0002134,5416598924.0,0.82,-1.35,-28.88
24,25,NEU,1115870.39,1824.94,0.007558,147634716.0,-0.93,-2.79,-9.73
25,26,NVC,1071114.5,4614.1,0.8745,1224872.0,-0.03,-0.77,-7.52
26,27,FCT,896813.34,1200.4,0.1024,8756684.0,-5.88,-7.94,-8.55
27,28,GAME,877517.02,10388.9,0.01727,50811868.0,6.8,-0.13,8.67
28,29,NOTE,844754.34,534.41,0.007967,106027324.0,0.13,-3.55,-12.23
29,30,XPM,793491.93,4941.98,0.06409,12380071.0,0.29,1.15,-4.92
30,31,START,745726.93,1636.51,0.02146,34746306.0,0.01,1.46,-9.34
31,32,UNITY,736057.85,3434.35,0.902,816061.0,-1.48,-8.02,-20.9
32,33,CSC,694965.71,833.86,0.02083,33356215.0,0.01,-4.43,-11.06
33,34,USNBT,689816.86,11456.78,0.9977,691439.0,0.01,-0.1,-0.21
34,35,SDC,605828.77,771.6,0.09319,6500676.0,1.18,-5.72,-11.98
35,36,MINT,546218.43,2457.62,2.434e-05,22436776933.0,4.1,-2.14,-22.67
36,37,FC2,545532.93,501.45,0.005444,100206032.0,0.01,-15.52,-31.23
37,38,EAC,514089.45,11912.23,5.746e-05,8946973191.0,0.0,6.42,50.66
38,39,MEC,511124.17,2616.23,0.01637,31230650.0,0.13,-2.84,-7.44
39,40,WDC,496047.51,2345.56,0.005325,93147322.0,0.03,3.05,-0.85
40,41,VASH,487680.53,5715.0,0.001218,400339746.0,-0.14,-0.41,-2.44
41,42,NAUT,465028.66,3062.55,0.07987,5822099.0,-17.62,38.8,-11.77
42,43,USDT,451600.0,11121.3,1.0,451600.0,0.0,0.0,0.0
43,44,CLAM,449022.76,8218.96,0.4159,1079528.0,-1.28,-7.53,-7.09
44,45,XVC,445451.92,1337.34,0.03719,11978966.0,-5.4,0.6,1.49
45,46,VTC,438265.55,5749.63,0.02146,20422900.0,-0.13,1.42,-10.18
46,47,XPY,424951.29,797.54,0.02606,16305944.0,0.02,1.88,-2.23
47,48,XDN,421001.2,2472.22,6.146e-05,6850330883.0,-0.08,-1.5,-13.07
48,49,IFC,420917.5,9453.19,4.65e-06,90596274910.0,-0.07,6.23,-2.14
49,50,FTC,338093.95,903.94,0.003294,102640360.0,-0.59,-2.23,-6.62
50,51,APC,313940.77,2886.74,0.01409,22286048.0,0.0,2.21,3.97
51,52,GCR,286215.33,2134.2,0.00286,100058520.0,4.8,12.18,-16.23
52,53,AUR,283769.8,1191.73,0.03803,7461449.0,-1.56,1.67,52.63
53,54,TIPS,282480.14,782.37,1.01e-06,280846322360.0,0.11,-3.01,-3.22
54,55,SLR,270742.62,1416.22,0.007918,34193015.0,-4.77,28.07,40.97
55,56,BOST,269174.33,102464.13,0.02285,11782458.0,-0.34,19.36,68.02
56,57,RDD,268538.89,4249.67,9.64e-06,27858913322.0,0.0,-8.34,-1.49
57,58,SYS,245115.5,2692.21,0.0005717,428751485.0,-2.31,6.23,59.79
58,59,DGC,229542.31,820.23,0.008185,28045183.0,-0.04,3.61,-4.58
59,60,ANC,215579.15,1443.8,0.1118,1928159.0,0.01,-3.78,4.44
