,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,11194830999.86,100664912.0,701.86,15950148.0,0.24,-1.57,7.0
1,2,ETH,956004706.72,16694946.0,11.18,85489095.0,-1.36,7.19,-7.02
2,3,XRP,284757212.11,2071775.75,0.008014,35531082209.0,0.1,3.54,-14.54
3,4,LTC,194515726.3,4364424.5,4.034,48218979.0,0.2,-1.24,3.15
4,5,ETC,79199201.27,1311256.0,0.9275,85392432.0,0.34,3.46,-11.5
5,6,XMR,73765442.77,5648009.5,5.5734,13235246.0,-1.04,8.52,-14.92
6,7,DASH,66171134.88,1180813.13,9.6673,6844843.0,0.01,11.52,-3.36
7,8,REP,51195545.2,346497.03,4.6541,11000000.0,0.02,10.81,-11.83
8,9,WAVES,35374295.71,249472.69,0.3537,100000000.0,0.11,0.75,19.32
9,10,MAID,35148535.6,323955.44,0.07767,452552412.0,0.44,5.31,-11.2
10,11,XEM,33411483.51,46940.07,0.003712,8999999999.0,0.24,5.9,-1.76
11,12,STEEM,25697169.89,45398.02,0.1312,195825765.0,-1.75,-0.25,-35.23
12,13,DOGE,23840431.93,112318.1,0.0002235,106672273695.0,0.6,0.03,1.27
13,14,DGD,21874097.82,18053.6,10.94,2000000.0,0.77,1.35,-1.5
14,15,FCT,19428995.17,1774418.88,2.2196,8753219.0,-0.46,7.24,-16.41
15,16,LSK,16847221.55,350482.38,0.1685,100000000.0,-0.39,9.62,-2.06
16,17,PPY,15124171.26,11951.76,15.12,1000000.0,5.74,3.09,9.12
17,18,NLG,15090939.84,84744.11,0.04672,323000803.0,-1.08,-10.01,-11.35
18,19,XLM,14575944.68,80875.08,0.002127,6851353993.0,0.65,8.41,-12.29
19,20,SDC,11460421.99,80066.01,1.7384,6592616.0,-1.12,10.17,6.92
20,21,BTS,10916982.59,116576.49,0.004239,2575490000.0,1.28,3.99,-4.63
