,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
171,172,SMLY,58291.09,9.5292,2.38e-06,24468510000.0,2.6,4.72,
172,173,USDE,57015.06,17.07,5.962e-05,956351793.0,2.18,0.8,-8.23
173,174,JPC,54358.37,15.08,9.54e-06,5698682708.0,3.05,-16.14,-47.58
174,175,HYP,53596.16,108.82,0.0005197,103124952.0,3.58,-2.99,-19.28
175,176,CBX,53544.33,11.79,0.056,956160.0,2.36,4.33,2.93
176,177,RIC,53296.84,216.22,0.00522,10210391.0,1.58,1.24,-6.72
177,178,BTCS,53129.0,165.93,0.004761,11160275.0,3.05,113.9,23.66
178,179,PINK,53051.29,126.09,0.0001456,364302150.0,2.12,0.37,-11.46
179,180,FLT,52861.14,44.07,0.000217,243592122.0,3.57,1.81,-20.03
180,181,HTML5,51994.54,112.09,1.28e-06,40616820000.0,3.44,-1.18,-17.72
181,182,UNC,51073.72,458.35,0.006088,8388608.0,0.0,-0.1,-5.32
182,183,EFL,47976.47,94.93,0.008966,5351088.0,3.1,3.65,-3.67
183,184,NAS,47693.8,0.5962,4.77e-06,10000000000.0,3.05,54.98,28.09
184,185,CRYPT,47628.21,21.38,0.007924,6010393.0,10.67,4.94,-14.73
185,186,EAC,46123.07,36.1,7.08e-06,6511101240.0,2.86,0.26,-27.42
186,187,TIX,46074.91,1.8073,6.9e-07,66876281414.0,0.0,-0.11,-22.85
187,188,EMC2,45573.34,432.91,0.0002762,165010198.0,3.09,4.35,-3.55
188,189,VIOR,44512.0,20.61,0.009548,4661812.0,2.6,0.41,-22.99
189,190,CHA,43110.32,70.06,0.08346,516513.0,3.05,,-37.08
190,191,TIPS,41945.42,160.17,1.5e-07,280846322360.0,4.04,4.19,-9.2
191,192,XWC,40319.39,167.5,0.0001324,304500941.0,3.57,-8.43,-27.25
192,193,NOO,39978.46,159.73,0.001599,25009723.0,2.16,-5.22,-28.53
193,194,DORCS,38624.91,1.4852,0.09901,390103.0,3.49,4.18,-31.42
194,195,CLOAK,37906.75,96.74,0.008329,4551310.0,3.15,7.98,2.12
195,196,FLAP,37333.15,10.99,5.3e-07,69864678452.0,3.54,2.25,-22.64
196,197,COL,36585.97,11.48,1.2e-07,312889440517.0,3.56,28.62,24.75
197,198,FIBRE,34939.79,197.05,0.05564,628007.0,3.38,-9.89,12.33
198,199,NFD,34924.98,51.72,6.98e-06,5000000000.0,3.59,53.53,150.48
199,200,MARYJ,34918.17,35.5,0.002276,15339717.0,3.38,0.31,-5.91
