,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,9147291987.42,136129968.0,577.76,15832320.0,0.07,-0.39,0.43
1,2,ETH,946509520.51,8552382.0,11.36,83338518.0,0.52,2.95,5.33
2,3,XRP,216189976.16,716325.88,0.006079,35562730335.0,-0.02,0.54,-0.57
3,4,LTC,179729341.12,3206369.75,3.8021,47271404.0,-0.13,-1.48,5.15
4,5,STEEM,120837416.47,241623.05,0.9753,123897703.0,-2.39,-12.33,-33.54
5,6,ETC,114302037.45,9500862.0,1.372,83308454.0,-1.19,-5.22,-17.96
6,7,DASH,82364425.94,935742.44,12.31,6689935.0,-0.87,-7.68,-9.86
7,8,XMR,52842214.71,7337870.5,4.1472,12741748.0,2.86,-7.96,87.85
8,9,XEM,52799137.77,132620.84,0.005867,8999999999.0,0.03,1.91,-8.67
9,10,MAID,51187379.89,681018.94,0.1131,452552412.0,-1.14,-3.49,14.73
10,11,LSK,25831115.25,466409.44,0.2583,100000000.0,0.17,-2.28,-15.51
11,12,FCT,24903018.91,719864.38,2.845,8753219.0,0.21,-4.44,29.73
12,13,NXT,24628308.53,351186.75,0.02465,998999994.0,-0.19,14.24,-11.55
13,14,DOGE,24262132.57,151207.31,0.0002294,105750114751.0,0.25,-1.06,-6.25
14,15,DGD,20394380.57,8790.58,10.2,2000000.0,-0.37,-2.58,4.83
15,16,PPY,16705953.6,12015.35,16.71,1000000.0,-1.01,-0.71,31.16
16,17,WAVES,16586975.75,26811.75,0.1659,100000000.0,-0.82,-2.88,-5.52
17,18,BTS,14812347.25,212296.56,0.00576,2571640000.0,-0.95,7.5,1.79
18,19,EMC,14041503.79,42516.88,0.366,38359851.0,-0.1,-2.72,-17.89
19,20,XLM,10591467.28,10011.68,0.001874,5653103727.0,0.27,-0.76,-5.05
20,21,AMP,10434124.93,1161565.63,0.1667,62585264.0,-4.9,4.48,20.14
21,22,PPC,8786133.01,614934.5,0.3748,23442789.0,3.97,6.39,3.91
22,23,XAUR,8587566.86,63335.95,0.104,82579347.0,2.68,11.67,-99.99
23,24,BCN,8401698.35,5118.13,4.636e-05,181227980544.0,0.22,-11.06,-11.96
24,25,XCP,7999668.75,40768.92,3.048,2624549.0,0.83,3.04,11.31
25,26,SC,7827196.14,52423.4,0.0004414,17734238040.0,0.65,-2.37,-15.32
26,27,USDT,6951591.0,965926.13,1.0,6951591.0,0.0,0.0,0.0
27,28,BCY,6706873.48,18387.09,0.1595,42051229.0,2.6,-6.33,-0.49
28,29,GAME,6592048.66,29893.28,0.1177,55983752.0,-0.45,-0.15,20.89
29,30,SJCX,5942467.38,8588.53,0.12,49518143.0,0.11,0.95,2.1
30,31,YBC,5059687.82,39978.97,1.6802,3011406.0,0.35,-1.42,0.13
31,32,NAUT,5000038.67,249055.39,0.4037,12384895.0,2.23,10.35,8.73
32,33,SYS,4880089.23,57464.04,0.01011,482933317.0,0.77,-4.7,-1.68
33,34,NMC,4380669.86,183290.16,0.2973,14736400.0,1.03,4.6,0.24
34,35,TIPS,4147148.41,2892.53,9.56e-06,433719246202.0,0.0,-1.11,-1.45
35,36,DCR,3750213.17,10063.21,1.5148,2475770.0,0.51,-2.12,-4.94
36,37,BTCD,3384056.94,7215.63,2.6386,1282536.0,-1.43,0.81,30.74
37,38,YOC,2836459.27,18482.87,0.1264,22447409.0,0.18,-2.61,-8.48
38,39,QWARK,2553017.31,1843.39,0.04103,62229575.0,0.11,-1.99,-16.9
39,40,VASH,2451397.64,6491.23,0.006123,400339746.0,-1.73,-0.72,-5.77
40,41,OMNI,2439869.25,17720.58,4.4059,553776.0,0.61,3.34,-8.97
41,42,UNITY,2431240.94,1074.29,2.9792,816061.0,0.1,-11.8,7.91
42,43,RBY,2290894.31,1799.81,0.09791,23398346.0,2.94,5.78,18.6
