,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,6529295683.57,36278856.0,434.33,15032900.0,0.12,0.79,-4.19
1,2,XRP,199716546.06,211767.44,0.005955,33537439933.0,0.26,-1.43,-7.7
2,3,LTC,153910921.49,2791166.25,3.509,43861960.0,-0.04,0.84,-2.95
3,4,ETH,71980416.23,206062.28,0.948,75926755.0,0.12,1.36,8.91
4,5,DASH,20614654.86,98317.07,3.377,6104401.0,0.37,2.27,18.32
5,6,DOGE,15821162.83,105224.06,0.0001544,102474178219.0,-0.32,1.54,4.88
6,7,PPC,9511809.31,29451.75,0.4157,22880048.0,-0.17,-1.38,-3.61
7,8,BTS,8777084.45,18589.87,0.00346,2536959026.0,-0.16,0.86,-0.35
8,9,XLM,8456618.58,4947.47,0.001748,4837356606.0,0.03,-0.03,-2.27
9,10,NXT,6677561.14,11145.54,0.006678,999997096.0,-1.53,-1.14,3.58
10,11,MAID,6514439.9,5787.2,0.01439,452552412.0,0.05,-1.01,-1.78
11,12,NMC,6023931.77,10558.05,0.4538,13275850.0,0.01,4.91,0.38
12,13,BCN,5481033.95,7178.14,3.074e-05,178283808956.0,-0.97,-0.01,-4.92
13,14,XMR,5259522.1,88913.65,0.4979,10564105.0,-2.13,5.44,1.96
14,15,FCT,5178074.88,502537.91,0.5915,8753873.0,3.7,28.41,40.51
15,16,GRC,3260224.13,2095.17,0.008775,371522285.0,1.51,1.87,-6.79
16,17,RBY,3117577.46,1264.01,0.1382,22557146.0,2.39,-6.79,-14.33
17,18,EMC,2859828.78,1244.22,0.07772,36796198.0,-0.28,-0.23,12.88
18,19,CLAM,2197584.9,9334.57,1.4438,1522041.0,-2.34,1.43,-6.38
19,20,BLK,2080739.82,5672.08,0.02768,75179836.0,0.65,0.59,2.87
20,21,YBC,1867308.66,11428.84,0.6212,3005899.0,0.11,0.36,-1.62
21,22,XCP,1594554.51,4342.12,0.6065,2628912.0,2.81,2.82,-15.26
22,23,MONA,1589809.27,3832.82,0.05905,26921600.0,0.39,-3.17,-6.07
23,24,START,1510496.75,12578.36,0.04202,35945551.0,0.01,2.23,2.42
24,25,GCR,1478164.29,17359.58,0.01475,100244162.0,0.12,-1.17,20.1
25,26,XEM,1457600.0,1360.74,0.000162,8999999999.0,0.22,5.34,-11.38
26,27,NEU,1244912.1,602.26,0.006723,185162423.0,2.93,-17.79,-22.83
27,28,CSC,1180644.91,1301.68,0.03415,34571453.0,5.09,-2.37,14.04
28,29,NVC,1155132.08,2133.9,0.9181,1258120.0,0.39,4.56,-5.0
29,30,XSD,1129478.29,1497.69,0.000834,1354220191.0,0.5,-11.25,-11.04
30,31,USDT,951600.0,4875.58,1.0,951600.0,0.0,0.0,0.0
31,32,XPM,841531.65,2196.53,0.06549,12849300.0,-0.02,-10.01,-7.06
32,33,USNBT,840192.46,15830.09,0.9992,840878.0,0.04,-0.67,-0.27
33,34,VRC,769514.31,2323.54,0.02809,27397661.0,0.06,-8.95,6.44
34,35,DGB,737636.14,3575.67,0.0001305,5652837872.0,-0.02,-3.5,-13.25
35,36,SJCX,728505.33,630.58,0.01634,44575870.0,0.2,3.55,3.81
36,37,XPY,722750.55,1615.68,0.04382,16494623.0,-1.16,-2.84,50.9
37,38,GAME,673912.36,6610.59,0.01309,51487737.0,-3.46,-11.15,35.11
38,39,MINT,657995.38,630.83,2.916e-05,22566361366.0,-6.65,-0.6,17.02
39,40,QRK,644278.29,515.45,0.002581,249659426.0,0.01,0.2,-6.47
40,41,VASH,621357.37,4179.76,0.001552,400339746.0,0.01,-0.45,-5.91
41,42,MEC,571612.87,525.99,0.01809,31598263.0,0.5,3.24,-6.38
42,43,WDC,563581.37,1678.05,0.005908,95398803.0,0.12,-2.55,-6.73
43,44,BOST,539173.5,2811.13,0.04576,11782458.0,0.2,2.31,-0.38
44,45,DMD,510222.52,1696.03,0.3491,1461608.0,2.81,5.72,6.54
45,46,XVC,478638.79,2739.76,0.03769,12699276.0,0.68,-2.62,-5.07
46,47,IFC,471620.97,1875.1,5.21e-06,90596274910.0,0.01,-6.59,-7.85
47,48,VTC,457389.75,1517.26,0.02126,21517750.0,0.36,-5.84,2.24
48,49,XDN,440024.57,1943.5,6.421e-05,6852611522.0,0.03,0.1,-13.41
49,50,FTC,396880.95,1725.72,0.003715,106841960.0,-1.8,2.34,-13.19
50,51,XCR,354636.69,871.02,0.003546,100000000.0,-7.0,-18.76,67.33
51,52,UNO,346614.2,1257.47,1.7635,196549.0,0.02,-2.0,5.54
52,53,APC,329106.22,713.77,0.01477,22286048.0,0.0,1.05,-3.54
53,54,AUR,287206.56,588.74,0.03789,7580637.0,0.34,-23.03,-29.19
54,55,DGC,276929.54,634.04,0.009494,29167753.0,-4.33,-3.67,-10.51
55,56,SC,190969.86,1036.04,2.172e-05,8793686844.0,0.12,25.99,14.18
56,57,SPR,170363.86,6133.65,0.03753,4538882.0,0.04,2.5,-6.85
57,58,POT,158314.45,2550.38,0.0007466,212032997.0,10.57,22.58,27.64
58,59,ZCC,157012.74,9373.3,0.009048,17352849.0,0.0,1.14,-1.28
59,60,AEON,148679.92,3468.07,0.015,9910741.0,0.12,6.29,24.86
60,61,XVG,138829.81,700.43,1.487e-05,9335500000.0,39.12,6.4,8.13
61,62,ORB,124375.59,519.54,0.05256,2366161.0,-5.54,30.21,60.08
62,63,DIME,115634.32,659.69,3.9e-07,299580260352.0,-0.06,10.92,6.75
63,64,BYC,106818.07,8256.1,0.1276,836954.0,-0.14,-0.58,-6.08
64,65,XSI,93522.41,1730.8,0.01015,9211704.0,6.45,13.61,-6.4
65,66,VIA,86068.21,777.03,0.004416,19491780.0,1.33,11.86,15.31
66,67,NXS,81252.14,685.68,0.002604,31204761.0,0.04,40.19,62.66
67,68,WBB,55351.87,1501.25,0.05194,1065755.0,-0.17,13.98,72.73
68,69,SXC,52933.38,645.74,0.0004877,108537526.0,0.02,6.47,-24.63
69,70,FLOZ,43711.01,1652.2,0.01302,3356877.0,0.12,24.18,78.48
70,71,CPC,43436.69,1717.35,0.163,266533.0,-2.03,72.21,69.79
71,72,TX,41206.25,629.24,0.007842,5254620.0,0.12,6.99,22.95
72,73,OK,32611.38,631.15,0.0005292,61624416.0,-7.47,-1.8,17.32
73,74,ADZ,29916.72,1485.79,0.0352,849840.0,-1.06,15.58,172.01
74,75,HTML5,29700.58,558.26,7.3e-07,40659020000.0,-0.02,30.74,71.22
75,76,SNRG,22609.95,1891.88,0.0247,915361.0,16.35,-76.12,38.42
76,77,TRI,16553.07,625.79,0.2659,62253.0,0.04,-7.15,-15.02
77,78,PRIME,8882.09,650.8,0.002487,3571777.0,6.39,32.37,19.26
78,79,QSLV,8612.68,593.65,0.002469,3487894.0,0.04,23.67,8.09
79,80,BNT,7202.48,4150.02,0.01261,571033.0,-0.74,-0.62,
80,81,IEC,3044.36,894.85,0.002749,1107431.0,0.09,-1.45,-2.38
81,82,NSR,3052234.7,205.24,0.003662,833433510.0,0.04,3.52,-38.27
82,83,OMNI,1526567.28,253.6,2.7756,550001.0,0.04,-40.63,15.07
83,84,BTCD,1294794.16,388.19,1.0394,1245752.0,-3.86,-1.38,-2.67
84,85,AMP,1263369.89,98.25,0.006836,184800000.0,0.12,-11.72,
85,86,XUSD,1205275.18,0.05026,1.0052,1199042.0,0.04,,
86,87,BCY,1202535.43,8.3493,0.02784,43200003.0,0.12,0.17,-0.18
87,88,GEMZ,1101168.68,135.11,0.01249,88135217.0,0.04,7.86,12.1
88,89,AMBER,1071961.3,42.22,0.02489,43069424.0,2.74,40.3,-24.19
89,90,RBT,1057240.17,28.39,0.009309,113567111.0,-0.05,-9.99,58.11
90,91,IXC,1030131.98,430.43,0.04905,20999906.0,5.36,8.42,58.58
91,92,CELL,959405.67,0.4174,0.003301,290646350.0,0.13,,-4.21
92,93,BKS,940420.3,6.5924,5.0432,186474.0,0.17,-13.32,-36.4
93,94,I0C,847407.1,16.42,0.04055,20895371.0,0.04,25.77,25.23
94,95,SDC,652611.44,134.57,0.1003,6505721.0,-3.86,3.56,5.41
95,96,NOTE,641250.76,469.37,0.005974,107334766.0,0.51,3.84,-2.35
96,97,UNITY,637535.64,396.65,0.7812,816061.0,-1.62,-1.24,-7.07
97,98,NAUT,579183.73,49.15,0.09948,5822099.0,1.18,-4.89,1.0
98,99,SCOT,538126.51,30.5,0.0005381,1000000000.0,0.04,-1.71,-2.72
99,100,SLR,519743.64,0.762,0.01519,34218299.0,0.04,-5.73,5.34
100,101,RDD,513232.83,276.0,1.838e-05,27922121759.0,5.28,2.14,-7.07
101,102,EAC,478297.86,178.68,5.19e-05,9215413630.0,0.04,-3.92,-11.67
102,103,SWARM,477109.8,0.04341,0.004774,99945431.0,0.04,-11.38,31.76
103,104,FC2,468327.46,21.19,0.004674,100206032.0,-18.34,-11.49,-27.66
104,105,ARCH,431766.18,168.65,0.02621,16474631.0,0.09,8.81,9.24
105,106,NLG,397762.73,151.05,0.001375,289261929.0,0.06,-0.18,-8.34
106,107,TIPS,348696.08,352.44,1.24e-06,280846322360.0,0.01,-0.81,-3.24
107,108,DEX,340583.29,119.54,0.3406,1000000.0,-1.62,,-22.3
