,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,3615830411.93,27535074.0,246.06,14694725.0,-0.06,2.42,3.71
1,2,XRP,173102981.23,349153.63,0.005328,32488247336.0,-0.08,6.38,-5.71
2,3,LTC,134045986.4,1972704.63,3.1459,42609360.0,-0.01,4.33,4.37
3,4,ETH,47974334.11,262673.66,0.6506,73733445.0,2.27,3.99,-1.74
4,5,DASH,13983870.38,23825.69,2.3875,5857106.0,0.36,2.07,1.09
5,6,BANX,13416421.14,10468.3,1.8699,7174808.0,-0.06,2.42,3.7
6,7,BTS,12608464.23,161532.45,0.005019,2511953117.0,0.62,-0.48,-21.33
7,8,DOGE,12291913.39,41813.89,0.0001214,101275916326.0,0.47,2.94,-0.66
8,9,XLM,10048071.47,2189.96,0.002077,4837356606.0,-0.03,2.99,1.62
9,10,PPC,8777981.4,39218.46,0.3871,22675302.0,0.47,4.12,0.05
10,11,MAID,8707398.09,8439.67,0.01924,452552412.0,0.14,2.26,-2.38
11,12,NXT,8407145.54,18546.79,0.008407,999997096.0,-0.1,2.24,0.58
12,13,NMC,4704917.32,36150.8,0.3732,12608050.0,0.26,2.18,-3.98
13,14,BCN,4607102.69,9217.17,2.608e-05,176624754026.0,-0.09,1.78,2.19
14,15,TRMB,4284420.29,21891.28,0.1573,27237584.0,0.0,0.0,0.13
15,16,XMR,3941104.57,13030.65,0.4114,9580258.0,-0.59,-1.73,0.03
16,17,BLK,2154892.71,13394.38,0.02873,75011116.0,-0.41,2.13,4.02
17,18,MONA,1893348.39,2795.18,0.08252,22944200.0,-1.08,1.69,-9.18
18,19,NSR,1846050.41,795.1,0.002205,837083336.0,-2.48,4.34,15.53
19,20,RBY,1839197.57,6099.15,0.08252,22286560.0,-0.07,12.69,53.95
20,21,YBC,1787090.42,54883.43,0.5957,3000000.0,3.26,2.85,3.1
21,22,FCT,1648126.9,29946.87,0.1882,8756684.0,-5.24,,
22,23,UNITY,1541177.97,659.28,1.8886,816061.0,-0.13,2.17,3.48
23,24,BTCD,1533944.32,1328.86,1.241,1236040.0,-1.61,-2.62,18.04
24,25,GRC,1440678.96,14189.26,0.003919,367655047.0,0.83,22.42,70.63
25,26,GEMZ,1334914.9,2916.8,0.01515,88135217.0,-0.06,0.92,7.96
26,27,EMC,1326323.14,1019.19,0.03661,36230769.0,-0.05,1.61,-3.37
27,28,CLAM,1211557.74,8030.11,1.1816,1025389.0,-1.31,-0.83,4.37
28,29,START,1208145.4,23059.64,0.03693,32715881.0,-2.52,-5.05,8.46
29,30,NVC,1193441.17,8449.43,1.0108,1180706.0,-0.08,2.46,0.32
30,31,XEM,1111040.12,1029.99,0.0001234,8999999999.0,-0.8,4.65,-18.67
31,32,NOTE,1072128.09,620.98,0.01028,104276868.0,-1.44,3.97,-13.09
32,33,FC2,995270.87,5175.95,0.009932,100206032.0,-3.51,26.93,23.14
33,34,XDN,901544.05,4569.17,0.0001317,6847626698.0,0.12,-2.14,-13.42
34,35,NAUT,895258.78,3693.45,0.1538,5822099.0,-5.13,5.51,-1.7
35,36,NEU,827337.34,3929.38,0.008273,100000000.0,0.77,-1.75,-10.64
36,37,BCY,767981.24,948.67,0.01728,44433901.0,0.5,1.34,9.41
37,38,SJCX,767733.8,742.39,0.01722,44575870.0,-0.06,3.41,3.03
38,39,XPM,743099.27,8648.45,0.06305,11785116.0,0.03,7.82,-1.3
39,40,VTC,723143.11,6006.52,0.03802,19018750.0,-0.27,0.23,-14.74
40,41,SDC,678378.22,5205.8,0.1044,6495321.0,-0.03,-6.64,0.92
41,42,GAME,590506.36,693.34,0.01155,51125985.0,-0.08,2.46,-18.31
42,43,USNBT,567623.99,67192.14,0.9955,570176.0,-0.29,0.15,-0.09
43,44,VASH,565584.11,6047.26,0.001413,400258406.0,-0.28,1.95,53.18
44,45,MINT,552992.52,748.89,2.504e-05,22085205721.0,1.31,-0.34,-29.66
45,46,WDC,551020.79,2559.65,0.006129,89900856.0,-0.58,0.86,-1.89
