,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,103112368557.5,18026409032.59,5829.5,17688025.0,-1.86,0.89,8.75
1,2,ETH,17994460618.55,8411140169.71,169.8,105975282.0,-2.59,-3.54,5.21
2,3,XRP,12626698622.78,1082385111.74,0.2997,42133310721.0,-0.68,-1.26,-3.13
3,4,BCH,5095284367.17,1773389358.45,286.73,17770013.0,-1.53,-1.63,8.1
4,5,LTC,4606527090.59,3088433048.08,74.69,61672808.0,-1.56,-2.11,1.08
5,6,EOS,4598359270.34,2112494045.61,4.8667,944854013.0,-0.79,-1.71,1.83
6,7,BNB,2945510679.1,171922295.1,20.86,141175490.0,-4.25,-6.25,-5.53
7,8,USDT,2771084835.15,16055442570.42,0.998,2776595295.0,-0.16,-0.12,-0.87
8,9,XLM,1819059418.95,212014100.64,0.09493,19162820680.0,-1.14,-3.34,-5.37
9,10,ADA,1660270103.55,53650713.98,0.06404,25927070538.0,-1.82,-5.19,-7.22
10,11,TRX,1589774029.03,714212081.91,0.02384,66682072191.0,-1.78,-0.9,-0.71
11,12,XMR,1112087154.61,49857410.03,65.54,16966896.0,-1.55,-2.31,5.53
12,13,DASH,1033722005.2,296756860.64,117.53,8795320.0,-1.79,-3.09,4.98
13,14,BSV,938176122.45,97303577.28,52.8,17767586.0,-1.2,-0.39,-2.11
14,15,ATOM,879746036.89,58235752.11,4.6135,190688439.0,-1.85,-2.99,15.15
15,16,MIOTA,797051710.14,16037956.28,0.2868,2779530283.0,-2.11,-2.6,-5.28
16,17,XTZ,796448843.34,4336627.59,1.2039,661581173.0,-1.1,-1.54,-0.58
17,18,ETC,624786648.38,476896645.4,5.6651,110287496.0,-0.87,-1.55,-3.72
18,19,NEO,580790407.91,311389251.96,8.9352,65000000.0,-1.67,-3.58,-8.13
19,20,MKR,558833610.92,4516985.98,558.83,1000000.0,-0.98,1.59,1.46
20,21,ONT,517382028.84,67794912.36,1.0456,494804358.0,-1.8,-3.19,-5.01
21,22,XEM,461358082.37,24728032.86,0.05126,8999999999.0,-2.42,-4.99,-8.82
22,23,BAT,399916748.02,40871516.79,0.3173,1260498401.0,-3.22,-8.72,-18.1
23,24,CRO,392049851.1,2103086.13,0.07,5600456621.0,-2.16,-1.79,-3.21
24,25,ZEC,374738747.79,356102756.06,57.8,6483231.0,-1.82,-4.33,-4.42
25,26,VET,339777248.03,12001381.45,0.006127,55454734800.0,-2.38,-3.1,-2.98
26,27,BTG,329018256.89,16903405.06,18.79,17513924.0,-1.96,1.58,15.13
27,28,USDC,309665944.83,100559474.86,1.0107,306390030.0,0.22,0.21,-0.34
28,29,DOGE,302868566.66,38143864.68,0.002536,119405899704.0,-1.27,-0.81,1.17
29,30,DCR,248587341.94,2707655.3,25.51,9743810.0,-1.37,-2.46,7.61
30,31,OMG,234001708.43,81407313.4,1.6685,140245398.0,-2.59,-0.85,5.79
31,32,TUSD,233611135.25,113906266.42,1.0181,229447249.0,0.19,0.22,-0.43
32,33,QTUM,228457701.2,184331163.57,2.3871,95703232.0,-2.02,-2.55,-2.52
33,34,REP,218303860.35,11026187.59,19.85,11000000.0,-1.3,-4.69,-5.38
34,35,WAVES,212579745.76,41140472.84,2.1258,100000000.0,-5.49,-1.61,-4.43
35,36,NANO,203242147.86,13459748.16,1.5253,133248289.0,-3.49,4.2,0.29
36,37,LSK,192508714.39,3924685.63,1.649,116745566.0,-2.08,-3.62,-5.04
37,38,LINK,190653521.22,16169094.18,0.5447,350000000.0,-3.96,-4.75,15.74
38,39,PAX,181092155.6,169436386.27,1.0141,178573187.0,0.4,0.66,0.09
39,40,BCD,167016481.97,3137610.24,0.8956,186492898.0,-0.5,-2.11,-2.21
40,41,HOT,166465880.18,10178334.45,0.00125,133214575156.0,-2.56,-4.17,-2.75
41,42,BCN,166090782.71,238270.42,0.0009023,184066828814.0,-1.19,-3.7,-0.02
42,43,ZRX,154845341.78,22469525.63,0.2635,587710997.0,-1.48,-6.3,-6.12
43,44,RVN,153656362.25,10763796.43,0.04404,3489365000.0,-4.96,-9.91,-12.22
44,45,ICX,151927632.73,7852825.18,0.3209,473406688.0,-1.89,-5.22,-5.36
45,46,ZIL,140611178.25,16228847.28,0.01619,8687360058.0,-2.74,-4.4,-6.77
46,47,BTS,139794059.49,9358055.91,0.05152,2713280000.0,-2.1,-2.69,-2.12
47,48,IOST,133242098.87,32802726.0,0.01109,12013965609.0,-2.52,0.23,-2.74
48,49,NPXS,130999172.96,2908549.74,0.0005972,219342694400.0,-2.45,-3.94,-8.48
49,50,BTT,129800027.97,31972568.19,0.0006119,212116500000.0,-1.52,-1.79,-4.97
50,51,AOA,129482861.75,4117048.4,0.01979,6542330148.0,-0.32,16.22,37.55
51,52,KMD,126001202.16,3778987.82,1.114,113111779.0,-2.55,3.5,13.68
52,53,DGB,124778490.61,2053291.28,0.01061,11764373094.0,-1.14,1.53,0.42
53,54,ABBC,124264148.67,49704740.24,0.246,505080572.0,-1.88,26.69,62.47
54,55,AE,123748027.35,45182748.96,0.4703,263125773.0,-1.95,-4.45,1.52
55,56,HT,114813193.35,34405088.87,2.2963,50000200.0,-1.03,-1.56,-3.01
56,57,BWX,109220962.8,11163.11,0.001698,64319998646.0,126.61,709.98,1403.1
57,58,XVG,109060262.25,3076634.2,0.006816,16000218396.0,-2.75,-5.22,-8.61
58,59,SC,106356039.58,1500323.83,0.00262,40594690089.0,-1.39,-2.62,-4.13
59,60,ENJ,104844261.08,9410190.88,0.1367,767157985.0,-1.69,-5.39,-9.87
60,61,STEEM,102837298.46,867264.78,0.322,319348679.0,-0.95,-3.63,-8.29
61,62,KCS,97867811.92,3661650.57,1.0916,89659415.0,-1.13,-1.21,-7.76
62,63,BTM,97826030.19,5949488.85,0.09758,1002499275.0,-2.08,-1.56,-3.79
63,64,INB,93761455.87,5006731.41,0.268,349902689.0,-1.49,6.63,14.72
64,65,JCT,84661099.62,636299.01,0.2888,293150782.0,-2.2,99.62,530.62
65,66,FCT,82753276.7,318030.47,8.7497,9457804.0,-2.03,-2.48,2.78
66,67,SAI,80704325.31,35018664.84,0.9829,82107583.0,-1.49,-2.08,-2.67
67,68,QBIT,80265542.06,59016.68,28.55,2811294.0,-2.01,-3.17,11.98
68,69,WTC,77915392.61,4834688.98,1.8693,41682339.0,-3.69,-9.6,-13.74
69,70,MCO,77450032.37,5989701.84,4.9038,15793831.0,-2.64,-2.57,0.47
70,71,XIN,77151126.15,1163594.61,174.55,442010.0,-1.12,-1.59,1.0
71,72,STRAT,76995139.49,1460993.79,0.7752,99318479.0,-2.07,-5.45,-9.43
72,73,SNT,76840118.58,15625494.74,0.02214,3470483788.0,-1.74,-2.09,-3.62
73,74,THR,74285077.19,105834.85,856.94,86686.0,-1.82,1.81,9.82
74,75,CNX,74245005.32,9165753.99,1.3333,55686329.0,-2.11,1.03,-0.51
75,76,MXM,74063233.18,15741763.32,0.04491,1649000000.0,3.61,21.11,-15.82
76,77,THETA,73871061.03,2559499.12,0.08486,870502690.0,-3.87,-8.26,-10.03
77,78,VEST,71111045.39,380881.64,0.01005,7078400000.0,-1.92,-0.46,8.12
78,79,GNT,70137144.97,1756200.17,0.07278,963622000.0,-1.4,-2.67,-4.12
79,80,ARDR,66295198.76,922586.3,0.06636,998999495.0,-1.81,-3.94,-1.12
80,81,MONA,64277571.32,1682000.12,0.9779,65729675.0,-1.45,-1.24,-9.59
81,82,WAXP,62639503.79,293640.56,0.06644,942732361.0,-1.81,-3.37,-7.48
82,83,TRUE,61553473.53,52621703.58,0.7735,79575543.0,-1.18,13.32,16.96
83,84,MAID,61365911.89,397953.39,0.1356,452552412.0,-1.91,2.13,3.53
84,85,ZEN,60991047.87,2011213.32,9.532,6398588.0,-1.2,2.49,24.59
85,86,GXC,60659200.96,5260862.42,1.011,60000000.0,-0.79,-2.81,-6.28
86,87,DGD,59371422.66,788894.56,29.69,2000000.0,-1.95,-1.83,1.22
87,88,AION,58614280.1,3446177.97,0.1893,309581662.0,-2.16,-2.17,6.39
88,89,ELF,56730599.05,10697323.86,0.1655,342800000.0,-2.54,-2.48,-0.06
89,90,PAI,55211336.58,3836646.35,0.03806,1450679491.0,-1.67,-1.06,-13.77
90,91,MANA,54019548.32,11974795.05,0.05144,1050141509.0,-2.45,-2.4,0.87
91,92,PPT,53229284.47,1943527.35,0.9996,53252246.0,-1.93,-4.08,-12.49
92,93,ARK,51743071.71,634191.8,0.4618,112057344.0,-2.01,-6.87,-4.87
93,94,ORBS,51375521.85,2429296.46,0.03142,1635091511.0,-2.44,-6.19,-11.78
94,95,NEW,50189631.51,11165907.59,0.004201,11948333332.0,-1.7,-7.79,-24.9
95,96,DENT,49557060.33,1379605.06,0.0007599,65212917185.0,-2.88,0.71,-6.93
96,97,SAN,49517102.15,105601.21,0.7902,62660371.0,-1.44,3.39,25.31
97,98,ETN,49448520.32,327532.09,0.005257,9405953430.0,-1.08,-1.84,1.09
98,99,XZC,49373773.02,912407.15,6.6368,7439368.0,-1.52,1.34,3.95
99,100,RLC,49190116.58,1838667.03,0.6143,80070793.0,-5.35,4.06,26.06
100,101,LOOM,47992086.16,2321977.55,0.06082,789107204.0,-1.84,-6.18,-2.78
101,102,HC,47838791.46,1933591.36,1.099,43529781.0,-1.74,-1.58,-4.61
102,103,ELA,47607125.06,6165576.8,3.1231,15243771.0,-2.32,0.57,-2.56
103,104,NULS,47433016.17,7007572.22,0.6642,71408917.0,-1.94,-5.05,-8.43
104,105,R,47309531.98,1600184.4,0.09766,484450000.0,-1.12,1.89,5.57
105,106,LRC,46984266.75,11587980.37,0.05668,828954240.0,-1.61,-5.57,-4.68
106,107,NEXO,46824497.71,6161528.63,0.08362,560000011.0,-0.96,-4.04,3.52
107,108,ODE,44920861.49,1283314.85,0.1951,230296136.0,-0.8,-4.11,-15.39
108,109,WICC,44872728.73,1754781.91,0.2374,189000000.0,-2.01,1.99,5.63
109,110,NET,44048252.08,4847095.1,0.8764,50259268.0,-1.34,-3.65,-5.73
110,111,RDD,43676733.43,473398.76,0.001516,28808713174.0,-4.72,-1.52,-6.75
111,112,QASH,43533015.99,329772.63,0.1244,350000000.0,-1.8,-1.0,7.82
112,113,POWR,43343862.3,2059089.61,0.1071,404852067.0,-2.41,-4.45,-5.23
113,114,ETP,42773286.27,11115223.78,0.6009,71184312.0,-0.96,1.75,3.86
114,115,NAS,41144404.18,3274172.22,0.9043,45500000.0,-1.84,-6.57,-11.38
115,116,MOAC,39527379.13,22803.94,0.6328,62463334.0,0.48,-3.65,-12.92
116,117,CLAM,37420464.19,242384.68,10.45,3579439.0,-1.69,0.91,10.11
117,118,GUSD,36769329.53,17240860.22,0.9992,36797566.0,-0.16,-0.34,-0.4
118,119,BNT,35981297.46,2270512.52,0.5789,62152509.0,-2.07,-3.97,-5.35
119,120,KNC,35976096.32,3735843.11,0.2158,166706724.0,-1.43,-5.79,-4.86
120,121,KIN,35909528.41,1160447.32,4.749e-05,756097560976.0,-1.8,-4.19,6.73
121,122,EURS,35489780.95,384574.81,1.1098,31979207.0,-1.63,-1.78,-1.69
122,123,ABT,35246461.5,219442096.38,0.3576,98554305.0,-1.38,8.59,41.85
123,124,WAN,34932043.11,2093790.26,0.3291,106152493.0,-2.84,-5.51,-9.27
124,125,FUN,34727340.94,1535954.66,0.005303,6548879189.0,-2.69,-6.16,-2.64
125,126,UGAS,34401981.48,347305.54,0.209,164637124.0,-1.62,-2.65,-0.95
126,127,CSC,33834065.52,27024.12,0.0008753,38653486425.0,-1.87,-8.58,29.42
127,128,POLY,33808296.55,2521659.89,0.08097,417529589.0,-1.69,-4.34,-4.74
128,129,PIVX,33665325.41,1713045.84,0.5929,56781166.0,-1.91,-3.32,-5.27
129,130,TOMO,33353963.76,285505.43,0.5582,59752825.0,-2.97,-6.65,-10.79
130,131,SYS,33154858.03,397251.26,0.05999,552700200.0,-1.95,-4.27,12.23
131,132,EKT,33066712.03,3908998.08,0.05059,653680037.0,-6.94,-6.48,48.39
132,133,LA,32846836.86,1984985.59,0.09532,344604463.0,-2.63,-5.17,2.1
133,134,IOTX,32724360.68,3651676.84,0.00935,3500040005.0,-4.65,-1.8,-11.7
134,135,BRD,32459068.89,278777.71,0.3658,88733978.0,-3.53,-4.02,11.97
