,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,569977480535.23,17872186762.03,29445.04,19357331.0,-0.2,-2.87,-0.7
1,2,ETH,249984723342.25,9648882545.8,2076.24,120402440.0,-0.16,-2.06,8.64
2,3,USDT,81634720914.51,32406207872.24,1.0005,81591507220.0,0.01,0.0,0.01
3,4,BNB,52992647633.25,856381072.01,339.99,155863431.0,-0.27,-2.36,6.79
4,5,USDC,30738817054.93,4388563239.44,0.9999,30742965212.0,0.0,0.02,0.01
5,6,XRP,26451231195.28,1021376247.86,0.5111,51750810378.0,-0.28,-1.97,-1.39
6,7,ADA,15108881251.97,467653074.46,0.4342,34799731524.0,-0.41,-3.89,9.36
7,8,DOGE,12721276232.37,1360494889.71,0.09145,139107416384.0,-0.8,1.08,7.78
8,9,MATIC,10664208388.92,344411568.36,1.153,9249469069.0,-0.37,-2.61,2.82
9,10,SOL,9649059824.85,789077236.93,24.56,392895496.0,-0.88,-3.17,17.61
10,11,DOT,7876924423.76,210933973.5,6.6955,1176442891.0,-0.38,-2.01,6.44
11,12,LTC,7182982827.0,687145902.39,98.67,72794577.0,-0.22,-1.59,5.17
12,13,AVAX,6707428412.78,504173914.53,20.51,326959383.0,-0.8,1.55,14.4
13,14,SHIB,6706440122.06,325289622.29,1.138e-05,589544710493775.0,-0.57,-1.69,2.24
14,15,BUSD,6305427101.61,3389955609.47,0.9999,6305441348.0,0.02,-0.02,0.0
15,16,TRX,5964530168.45,186846117.39,0.06578,90668206658.0,-0.02,-1.15,-2.3
16,17,DAI,4976181279.21,126855224.48,0.9993,4979750901.0,-0.05,-0.02,-0.08
17,18,WBTC,4534107357.31,95653601.76,29478.34,153811.0,-0.22,-2.91,-0.55
18,19,LINK,4221771306.55,460381260.8,8.1643,517099970.0,-0.55,0.34,11.16
19,20,UNI,3539035497.48,82421202.08,6.1282,577501036.0,-0.45,-3.03,1.8
20,21,ATOM,3534339537.91,165043635.6,12.34,286370297.0,-0.62,-2.8,10.33
21,22,LEO,3161656944.18,827656.81,3.3977,930529016.0,-0.02,-0.58,0.22
22,23,OKB,3138892661.48,41598795.01,52.31,60000000.0,-0.48,-1.6,22.05
23,24,ETC,3052320050.17,166783778.78,21.7,140640220.0,-0.25,-2.55,3.46
24,25,XMR,2915387753.68,80486638.5,159.56,18271163.0,-0.33,-2.48,0.22
25,26,TON,2811327350.37,32566296.96,2.3017,1221401181.0,-0.03,-2.35,4.38
26,27,XLM,2785963922.0,52147828.3,0.1041,26768817586.0,-0.22,-3.14,-1.56
27,28,ICP,2721284876.62,70349918.58,6.2468,435627384.0,0.23,2.77,20.43
28,29,FIL,2571068465.17,210632646.07,6.1182,420234521.0,-0.17,-3.54,-0.95
29,30,BCH,2550157237.61,117754450.14,131.62,19375775.0,-0.27,-2.11,2.83
30,31,APT,2319300430.03,219237275.94,12.29,188704645.0,-0.53,-2.61,7.35
31,32,LDO,2179544224.15,65712834.74,2.4913,874868715.0,-0.41,-3.24,1.09
32,33,HBAR,2070554688.39,39167483.29,0.06646,31155749080.0,-0.49,-3.98,0.35
33,34,TUSD,2056438904.05,1541886996.74,1.0,2056427902.0,0.02,-0.03,-0.08
34,35,ARB,2055845512.19,881877178.11,1.6124,1275000000.0,-1.49,-5.07,29.75
35,36,NEAR,2044438105.02,141704572.9,2.2872,893861600.0,-0.74,-1.67,10.79
36,37,VET,1845954090.99,48165105.4,0.02546,72511146418.0,-0.32,-2.85,1.93
37,38,CRO,1767070454.62,14843236.83,0.06995,25263013692.0,-0.16,-3.6,1.96
38,39,APE,1653733849.92,135148013.2,4.4866,368593750.0,-0.34,-0.99,3.58
39,40,ALGO,1595955469.45,108617950.31,0.2207,7231554664.0,-0.47,-6.03,-0.02
40,41,GRT,1536254392.98,115390412.86,0.1719,8938823203.0,1.78,3.04,12.61
41,42,FTM,1447818561.38,306502845.89,0.5194,2787706304.0,-0.64,-1.67,9.18
42,43,QNT,1401880830.85,22908959.55,116.12,12072738.0,-0.53,-2.71,-6.77
43,44,EOS,1313946715.91,131137299.06,1.2061,1089389487.0,-0.39,-2.61,-2.52
44,45,MANA,1296430062.63,322512106.42,0.6902,1878271532.0,2.17,7.07,12.72
45,46,SAND,1280568348.42,202051133.58,0.6983,1833881926.0,1.79,0.94,6.98
46,47,AAVE,1164198552.57,71136630.19,81.02,14368567.0,-0.6,-2.81,3.34
47,48,STX,1154871079.2,53769046.09,0.84,1374843168.0,-0.65,-2.47,-8.68
48,49,THETA,1115157351.52,17249971.0,1.1152,1000000000.0,0.14,-1.68,2.91
49,50,EGLD,1103936926.72,26814817.77,43.58,25331891.0,-0.54,0.77,6.79
50,51,AXS,1086146173.71,69149949.91,9.3618,116018503.0,2.15,1.21,8.06
51,52,FLOW,1069031093.84,28892086.49,1.0317,1036200000.0,-0.51,-3.42,2.78
52,53,RPL,1068671497.0,42376008.68,55.29,19329236.0,-0.15,-6.41,17.24
53,54,XTZ,1068350125.01,25389206.03,1.1418,935675914.0,-0.27,-3.14,1.77
54,55,IMX,1031388036.97,45146448.78,1.1282,914163546.0,-0.55,-7.0,4.01
55,56,CFX,999379664.25,175240269.98,0.3586,2786563650.0,-0.39,-5.27,-17.52
56,57,BIT,991256234.33,4997903.32,0.5377,1843669912.0,0.05,-2.64,2.71
57,58,USDP,971152135.73,22665095.9,1.0017,969514797.0,-0.04,0.12,0.32
58,59,CHZ,940730327.12,92434237.5,0.1356,6938646158.0,-0.03,-2.13,1.82
59,60,NEO,912394722.15,72205840.12,12.93,70538831.0,-0.87,-4.73,3.9
60,61,KCS,850281343.13,2471793.93,8.7681,96974735.0,-0.15,-2.44,1.95
61,62,CRV,849759842.78,56697442.39,1.0501,809217625.0,-0.4,-5.06,2.12
62,63,OP,820352660.46,151444097.36,2.6056,314844141.0,-0.53,-3.21,10.5
63,64,KLAY,774394214.23,46941053.76,0.2507,3088888686.0,-0.23,-5.08,2.96
64,65,MKR,762997941.44,46373714.35,780.46,977631.0,-0.27,-2.57,7.52
65,66,GMX,744773638.11,56195745.94,86.02,8658030.0,-0.2,-2.28,7.68
66,67,LUNC,731903920.17,46149732.83,0.0001241,5898479807429.0,-0.51,-2.84,-0.86
67,68,INJ,723946103.33,270224058.81,9.0487,80005555.0,-0.22,-3.12,43.12
68,69,FXS,720844612.0,34245919.89,10.06,71647888.0,-0.93,-3.01,10.07
69,70,RNDR,718636185.19,277518966.39,1.9748,363911539.0,-1.23,11.31,34.11
70,71,USDD,715839005.29,16149974.58,0.9869,725332036.0,-0.01,-0.32,-0.49
71,72,MINA,711837645.03,27406802.8,0.7989,890968431.0,0.02,-3.49,6.31
72,73,SNX,711606507.39,41769055.25,2.7499,258777942.0,-0.11,-3.26,1.96
73,74,CAKE,701237904.12,55020324.21,3.5857,195567638.0,-0.33,-2.38,-3.0
74,75,BSV,700820789.7,33606715.42,36.38,19266077.0,-0.35,-1.95,0.02
75,76,ZEC,678494862.0,25134463.52,41.55,16328269.0,-0.26,-2.6,5.19
76,77,DASH,657781139.91,91286708.75,58.46,11252446.0,-0.29,-4.25,1.4
77,78,HT,635457227.14,7949757.49,3.9169,162233844.0,0.08,-2.17,6.55
78,79,MIOTA,621634658.15,10489103.41,0.2236,2779530283.0,-0.27,-2.43,-1.39
