,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,780074755650.18,24615543270.67,41078.0,18990087.0,-0.26,-0.41,3.56
1,2,ETH,347920723063.28,15206116098.46,2897.98,120056426.0,-0.49,1.31,11.86
2,3,USDT,80809353322.39,64828148834.13,1.0003,80781335521.0,-0.01,-0.01,0.01
3,4,BNB,65460178434.56,1657341490.53,396.45,165116761.0,-0.17,1.45,6.15
4,5,USDC,53010892417.24,3371335655.77,0.9998,53020020218.0,0.01,-0.01,-0.05
5,6,XRP,40333234043.34,2485293313.57,0.8382,48121609012.0,0.12,3.97,8.2
6,7,LUNA,34874561450.2,2861632219.75,95.95,363470733.0,-0.19,5.98,1.16
7,8,ADA,30907828322.34,1233477885.6,0.9168,33713398326.0,1.07,4.53,14.04
8,9,SOL,28434031532.64,1598537311.66,88.76,320357460.0,-0.16,0.16,9.34
9,10,AVAX,23101880348.49,2083892142.31,86.45,267229166.0,-0.47,2.04,25.49
10,11,DOT,18561820037.65,726848267.7,18.8,987579315.0,0.18,0.84,6.21
11,12,BUSD,17733953702.16,5920195296.27,1.0009,17717595655.0,-0.03,0.15,0.0
12,13,DOGE,15832853887.53,439486515.69,0.1193,132670764300.0,-0.1,0.16,4.64
13,14,UST,15521020895.31,519038342.29,1.0013,15501587494.0,0.02,-0.25,-0.28
14,15,SHIB,12602125094.85,746003820.36,2.295e-05,549063278876302.0,-0.26,-0.75,4.2
15,16,MATIC,11286229887.01,588441133.51,1.4665,7696069521.0,-0.27,0.18,6.43
16,17,WBTC,11227920389.57,134393083.63,41040.61,273581.0,-0.26,-0.41,3.72
17,18,CRO,10240213925.34,52532481.51,0.4053,25263013692.0,-0.26,-0.05,6.87
18,19,DAI,9959135082.42,243480293.77,0.999,9969092091.0,-0.02,-0.03,-0.17
19,20,LTC,8118865847.88,833192536.93,116.16,69894581.0,0.05,1.16,9.92
20,21,ATOM,8014004457.98,520603664.64,27.98,286370297.0,-0.01,0.68,4.27
21,22,NEAR,7155866747.6,460228130.87,10.88,657511870.0,0.31,2.34,7.29
22,23,LINK,7008787281.51,601520896.0,15.01,467009550.0,0.38,3.13,11.99
23,24,UNI,6420851032.7,229627680.28,9.3389,687540661.0,0.28,0.2,10.03
24,25,BCH,6374407799.61,3775570530.93,335.23,19014938.0,-0.03,2.53,15.78
25,26,TRX,6283645574.35,926959844.33,0.06178,101706880079.0,0.01,0.56,2.73
26,27,FTT,6155539001.31,102151456.47,44.77,137488328.0,-0.35,1.73,7.88
27,28,LEO,5883804062.27,8165338.47,6.1678,953954130.0,0.48,1.72,5.08
28,29,ALGO,5468475116.48,442243371.08,0.8252,6627094358.0,1.04,11.18,16.73
29,30,ETC,5138881729.37,2096773979.76,38.43,133704674.0,-0.77,0.64,48.23
30,31,XLM,5022118179.54,298846990.36,0.2039,24631765426.0,0.79,3.5,13.19
