,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,1185307165.19,,102.8,11530225.0,0.54,-0.99,-1.4
1,2,LTC,54076387.98,,2.679,20185530.0,0.52,-1.57,-5.98
2,3,XRP,33547474.01,,0.004291,7817889792.0,0.53,0.16,
3,4,NMC,4355134.45,,0.697,6248543.0,0.99,-0.72,12.36
4,5,PPC,3231255.55,,0.1624,19893954.0,0.54,-2.22,1.4
5,6,FTC,1927532.07,,0.1491,12931250.0,-0.83,-2.33,-26.09
6,7,NVC,1816513.59,,5.2387,346750.0,0.46,-1.76,-4.01
7,8,XPM,1264268.51,,0.8502,1487100.0,-1.02,1.99,32.68
8,9,TRC,659654.11,,0.182,3625350.0,1.59,3.21,4.87
9,10,DVC,285160.62,,5.654e-05,5043520000.0,0.54,-4.46,-11.69
10,11,DGC,211548.92,,0.03147,6722645.0,0.88,-10.89,-7.16
11,12,FRC,149830.79,,0.006322,23699154.0,1.48,-11.63,-1.46
12,13,MNC,128611.94,,0.1031,1247533.0,5.64,-4.24,126.94
13,14,WDC,124130.15,,0.008142,15246108.0,0.97,0.49,-0.34
14,15,YAC,118320.94,,0.02179,5429160.0,0.54,-0.04,24.55
15,16,IXC,93473.73,,0.006377,14658674.0,0.54,-2.67,59.21
16,17,MEC,84533.35,,0.005357,15780250.0,0.55,-4.57,-20.16
17,18,PXC,62968.33,,0.01813,3472800.0,0.54,3.46,-22.0
18,19,CBX,59599.44,,0.1028,579825.0,-2.48,15.13,
19,20,BQC,56997.52,,0.00257,22178022.0,-1.44,-14.36,-15.68
20,21,GLC,54158.98,,0.002116,25595196.0,-2.37,7.53,-27.91
21,22,IFC,42957.26,,6.2e-07,69845516288.0,4.05,,-19.67
22,23,FST,40739.38,,0.002442,16686208.0,-3.25,-9.67,-42.66
23,24,CNC,36746.65,,0.00699,5256730.0,0.54,-0.98,-29.35
24,25,ANC,26570.18,,0.07145,371892.0,0.54,15.65,-24.99
25,26,LKY,25151.13,,0.004266,5895440.0,0.54,0.01,35.9
26,27,ARG,15632.74,,0.03999,390924.0,0.54,-5.3,-4.57
27,28,BTE,15250.85,,0.01645,927100.0,0.54,-0.97,32.85
28,29,FRK,14321.17,,0.3166,45233.0,3.9,1.61,-44.55
29,30,CAP,13861.44,,0.02064,671575.0,0.54,-1.58,-17.46
30,31,BTB,13067.31,,2.6728,4889.0,0.54,-0.98,-20.51
31,32,BTG,9708.52,,0.5253,18481.0,0.54,-17.05,-5.9
32,33,KGC,9347.41,,0.001018,9184658.0,4.77,9.63,-39.54
33,34,CRC,8151.85,,0.08738,93292.0,5.47,-15.84,-24.1
34,35,CSC,7868.32,,0.00386,2038350.0,-13.71,-9.01,-21.77
35,36,SPT,7779.41,,0.01773,438697.0,-30.63,59.47,130.18
36,37,ALF,7716.59,,0.0007751,9955450.0,-11.65,-3.67,-46.66
37,38,MEM,5626.97,,0.000224,25115450.0,-0.46,-2.13,-7.56
38,39,EMD,5147.51,,0.003496,1472305.0,0.54,0.23,
39,40,NRB,4995.91,,0.008327,599980.0,0.54,76.23,13.46
40,41,SBC,4719.81,,0.001136,4154980.0,0.54,-4.11,-16.67
41,42,XNC,4440.78,,2.797e-05,158759856.0,-0.11,1.05,-10.83
42,43,GLC,4341.23,,0.0003033,14315200.0,0.54,-12.06,
43,44,NBL,4108.41,,0.004369,940354.0,0.54,-2.16,-7.29
44,45,LBW,3218.92,,0.005825,552638.0,-42.46,-43.33,-1.61
45,46,HYC,2843.05,,0.005551,512150.0,0.54,0.86,-24.23
46,47,DBL,2714.12,,0.005043,538168.0,7.14,5.68,0.41
47,48,ELC,1899.39,,0.0843,22532.0,0.54,1.36,-50.65
48,49,EZC,1389.94,,0.0002192,6341771.0,-0.11,-0.86,-14.92
49,50,JKC,1305.35,,0.0001975,6611100.0,-0.05,-0.56,-31.46
