,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,6714457236.57,17624798.0,508.52,13204000.0,-0.1,0.15,-0.69
1,2,LTC,169207983.49,2455117.0,5.36,31568501.0,0.18,2.0,3.26
2,3,XRP,145438276.01,169548.5,0.005017,28989252282.0,-0.36,-0.67,-0.99
3,4,BTS,52450077.43,1868647.0,0.02623,1999992536.0,1.12,-15.57,-4.72
4,5,NXT,28324020.73,69756.96,0.02832,999997096.0,1.53,6.41,-6.63
5,6,PPC,18227211.24,29766.2,0.8409,21676559.0,0.03,-1.37,-6.18
6,7,DOGE,11751649.44,136449.08,0.0001293,90914476277.0,-0.11,-2.06,3.94
7,8,DASH,11733982.09,148518.61,2.5496,4602313.0,0.66,6.62,-19.07
8,9,NMC,11425260.1,40910.21,1.1824,9662500.0,1.57,-0.65,1.87
9,10,MAID,9406900.45,12303.01,0.02079,452552412.0,0.11,7.89,7.29
10,11,XMR,6839134.1,219723.86,2.2076,3098047.0,-0.92,0.96,23.74
11,12,XCP,5670008.39,15336.67,2.141,2648281.0,0.9,4.98,21.86
12,13,BTCD,5388708.48,120671.5,4.5595,1181869.0,-0.34,-1.23,90.32
13,14,PTS,5180883.11,21993.66,3.038,1705341.0,0.5,-1.67,-3.05
14,15,XC,3987980.88,11522.3,0.7209,5531828.0,-0.11,-1.48,-5.32
15,16,BLK,3344457.81,59350.16,0.0448,74659598.0,0.17,-1.24,-16.15
16,17,BCN,3022881.33,9768.78,1.879e-05,160894526849.0,-0.1,-11.18,-28.91
17,18,MONA,2442680.47,12727.71,0.2128,11477500.0,0.07,3.69,17.74
18,19,LTS,2430791.98,3673.32,0.06045,40209948.0,-0.86,-31.13,
19,20,OMNI,2379180.82,1675.62,4.2247,563162.0,-0.1,-15.53,-8.51
20,21,XLM,2305897.13,43048.46,0.002211,1043131550.0,-0.08,1.22,-4.86
21,22,FZN,2250360.59,782.51,2.5421,885245.0,42.68,-3.73,133.3
22,23,RDD,1780353.77,70531.13,6.596e-05,26991375008.0,-0.18,-12.91,-29.0
23,24,ZET,1694405.47,2890.87,0.01053,160844847.0,2.75,-2.35,6.3
24,25,QRK,1665885.53,3255.67,0.006713,248161792.0,-4.06,-5.32,6.47
25,26,VIA,1475317.96,18159.99,0.1367,10790175.0,-1.94,-8.58,-13.37
26,27,XPM,1295918.49,3474.35,0.1861,6964105.0,-0.15,0.4,-6.41
27,28,FTC,1194402.63,5535.71,0.02226,53659490.0,-1.33,-6.61,-21.77
28,29,VRC,1152998.08,13563.53,0.04297,26833426.0,-4.15,-8.69,-21.81
29,30,CANN,1038866.22,27706.17,0.01327,78290730.0,8.21,82.5,234.66
30,31,GML,992981.48,63948.75,0.001986,500000000.0,2.22,-3.76,-48.95
31,32,YBC,978783.69,9923.76,0.5114,1913927.0,0.09,1.85,0.69
32,33,IFC,936848.73,1586.45,1.034e-05,90591427357.0,-4.72,8.39,2.87
33,34,VTC,906070.23,11246.73,0.1226,7393000.0,-0.2,2.76,-2.54
34,35,XCR,836028.62,7948.28,0.00836,100000000.0,-0.04,-11.4,-19.37
35,36,MEC,727908.0,2853.56,0.02912,24999300.0,-0.02,-5.15,-8.31
36,37,MAX,719925.91,5732.29,0.0208,34615440.0,-1.93,-4.29,-10.9
37,38,CLOAK,688645.82,20611.43,0.1521,4526244.0,-0.08,7.86,16.71
38,39,SYS,682806.78,13702.7,0.001863,366524923.0,2.94,3.82,-17.18
39,40,POT,666894.36,2951.82,0.004582,145561759.0,1.89,-3.37,-2.88
40,41,NVC,660633.37,3824.64,0.8212,804505.0,-2.27,-6.66,-14.5
41,42,PND,652577.7,1646.1,2.028e-05,32173850820.0,-0.13,2.12,-9.84
42,43,NEM,592615.93,3211.6,764.67,775.0,1.53,14.89,6.55
43,44,FIMK,591298.24,74560.96,0.001588,372450198.0,-0.1,-1.17,-4.63
44,45,IXC,582517.08,1735.19,0.02819,20667362.0,-0.72,7.26,-8.32
45,46,JLH,545680.49,748.71,0.05457,10000000.0,1.43,-0.89,-10.26
46,47,SYNC,541954.62,4085.94,474.46,1142.0,3.05,3.81,-11.28
47,48,SDC,523510.97,26069.98,0.08136,6434346.0,-0.1,10.22,-2.61
48,49,SJCX,521840.73,5194.33,0.01322,39469276.0,5.49,21.71,5.52
49,50,WDC,518237.32,4324.91,0.008189,63285667.0,-0.07,-6.6,11.21
50,51,KARMA,495308.29,2022.09,8.18e-06,60548349065.0,13.46,29.27,36.08
51,52,NOTE,473687.85,5165.19,0.005238,90425351.0,-4.49,-13.42,-3.2
52,53,BILS,471885.9,37865.32,0.0004719,1000000000.0,2.52,-3.7,
53,54,XDN,450847.19,5012.75,7.628e-05,5910746171.0,-0.46,-0.97,-13.65
54,55,NXTTY,438966.88,9330.72,0.002195,200000000.0,1.53,13.12,59.71
55,56,URO,370800.8,17971.21,0.6104,607516.0,-1.54,-18.86,22.73
56,57,LXC,359025.81,134613.94,0.03684,9746446.0,0.49,-31.65,43.67
57,58,NAUT,351873.47,3440.14,0.07105,4952131.0,-0.22,-2.85,-17.85
58,59,ANC,350568.13,1164.69,0.2908,1205489.0,-0.09,4.95,-17.14
59,60,RZR,348773.14,3185.74,0.1748,1995396.0,-0.18,-0.86,3.29
60,61,UNO,345963.85,716.48,1.8158,190526.0,3.41,-10.82,-6.05
61,62,IOC,314785.22,3970.89,0.01965,16015908.0,-0.48,16.16,-5.25
62,63,GLC,308980.63,794.37,0.009585,32237390.0,-0.92,1.61,16.87
63,64,MINT,293456.62,804.33,1.487e-05,19732628461.0,-1.33,-1.72,28.85
64,65,HYPER,286742.74,2895.46,0.08911,3217944.0,-0.82,17.98,46.49
65,66,BBR,264974.57,24891.93,0.2116,1252443.0,0.38,0.88,132.03
66,67,JPC,261697.32,682.07,5.052e-05,5180563693.0,10.42,6.13,-1.3
67,68,DGB,238321.66,1395.97,0.0001916,1243666067.0,-0.14,-0.47,-3.19
68,69,NLG,233483.9,4983.19,0.002152,108512000.0,3.2,6.14,38.19
69,70,GB,228760.57,58785.23,0.01143,20013379.0,4.77,-13.72,
70,71,WKC,213654.91,5960.59,0.08091,2640500.0,-0.04,7.39,65.94
71,72,SUPER,212235.66,1425.45,0.0144,14739465.0,3.71,1.16,37.15
72,73,NAS,208774.14,1411.14,2.088e-05,10000000000.0,-0.1,30.15,13.89
73,74,QTL,203961.47,23052.79,0.1349,1511593.0,0.74,-3.23,546.77
74,75,SFR,196377.99,4378.21,0.01387,14155072.0,-0.76,-4.99,31.72
75,76,TRC,180654.55,660.99,0.02731,6614136.0,-0.21,2.15,-13.94
76,77,CLSTR,177998.74,1049.64,0.05086,3500000.0,-0.1,0.14,
77,78,XST,173887.24,1834.46,0.008314,20914355.0,-5.59,-3.9,52.57
78,79,HAL,165688.9,18626.45,0.1021,1622841.0,2.3,-7.8,-9.16
79,80,AM,161570.17,5289.57,0.02277,7094196.0,-7.76,-7.06,40.71
80,81,DONU,151752.56,49255.21,0.1343,1130300.0,1.66,69.89,
81,82,ROOT,143849.44,54138.71,0.08035,1790179.0,-0.17,-7.25,
82,83,UTC,141956.56,2918.89,0.007821,18151079.0,-2.64,23.3,17.64
83,84,APC,141499.64,1952.67,0.007158,19768365.0,0.0,-8.23,9.69
84,85,XXX,139193.3,994.55,0.003815,36485069.0,-4.01,-7.88,-2.62
85,86,VTA,135550.02,4739.66,1.507e-05,8992645893.0,-0.12,24.31,45.46
86,87,PINK,127756.32,1018.48,0.0003509,364105992.0,-0.1,-4.12,-21.98
87,88,ZCC,127116.33,1407.07,0.007325,17352849.0,-0.12,-2.22,-3.84
88,89,NAV,115445.55,8463.08,0.002021,57119160.0,0.66,7.57,-7.42
89,90,XDQ,101636.83,2585.78,0.2906,349753.0,-0.1,-12.59,30.36
90,91,BOST,101284.08,567.67,0.008646,11714145.0,-1.28,-10.83,29.04
91,92,BLU,97509.15,1517.93,0.000183,532788834.0,-1.09,-5.3,-39.99
92,93,SSD,96750.1,14592.99,0.004566,21190257.0,116.24,149.88,163.97
93,94,XCLD,88596.37,1940.07,0.07704,1150000.0,-2.47,-1.9,6.61
94,95,NRS,82770.68,984.19,0.03381,2447814.0,-0.28,-1.25,69.38
95,96,HYP,81652.76,689.56,0.005611,14551313.0,-3.91,8.63,176.38
96,97,CRYPT,76504.88,713.05,0.01816,4213054.0,24.96,16.06,-10.2
97,98,XWC,75187.91,955.58,0.0002481,303049670.0,-0.1,-18.4,-26.26
98,99,TAG,64302.98,2957.89,0.03421,1879665.0,4.47,-13.79,37.31
99,100,NOBL,62446.97,1288.55,3.591e-05,1739175000.0,-7.17,-14.9,-23.99
100,101,CINNI,61687.83,988.26,0.004102,15037820.0,-0.1,-8.1,-10.63
101,102,QBK,60628.86,3865.72,0.121,500995.0,-0.47,-12.59,22.44
102,103,RAW,60154.97,70968.13,0.01042,5770483.0,-0.22,41.76,-18.46
103,104,KEY,59681.86,1546.06,0.06528,914276.0,-1.06,-1.69,1.11
104,105,BITS,56949.18,1135.5,0.003579,15913334.0,-0.1,7.42,25.72
105,106,BTM,56823.62,740.74,0.08854,641800.0,-0.1,-9.39,-10.06
106,107,DIEM,54297.25,2017.87,2.51e-06,21627864372.0,-8.38,-1.23,34.42
107,108,SILK,52904.38,1462.84,0.001224,43225571.0,-10.06,-12.1,-39.62
108,109,MIN,51007.43,1464.36,0.00189,26984898.0,-0.13,7.84,-24.19
109,110,FRSH,40367.59,6084.84,0.006654,6067090.0,-0.77,-22.23,255.51
110,111,MWC,33066.67,2248.76,0.001216,27195376.0,-13.67,-21.44,139.61
111,112,ROX,27185.25,2737.51,0.004577,5939986.0,-0.1,111.13,1072.09
112,113,JUDGE,26826.23,691.55,0.002331,11507779.0,15.54,-13.72,-13.46
113,114,XCN,22956.82,4938.37,0.003879,5918721.0,-3.37,48.21,-20.52
114,115,ETHAN,22915.47,5996.21,0.0003394,67515072.0,-15.7,-18.66,519.14
115,116,ENRG,21987.27,509.93,0.000197,111625959.0,-0.1,-0.58,49.97
116,117,FCC,20954.47,995.06,0.01779,1177680.0,-0.1,0.14,2.2
117,118,APEX,20356.55,1066.16,0.003344,6088386.0,-8.12,13.83,114.58
118,119,42,19547.3,777.47,1628.94,12.0,6.47,6.1,-5.06
119,120,BNCR,15251.72,985.02,0.003255,4686336.0,-0.1,0.14,7.15
120,121,MNC,14732.92,1215.11,0.008559,1721350.0,-14.02,-38.45,-45.49
121,122,RIPO,14358.56,2604.21,0.003577,4014100.0,2.85,39.71,
122,123,PRO,13164.47,624.19,0.0002187,60205000.0,-1.09,-18.6,-7.24
123,124,START,12130.43,1965.84,0.007299,1661921.0,-21.1,-28.95,-36.3
124,125,VAULT,11452.59,814.35,7.6277,1501.0,-0.1,0.14,264.53
125,126,INT,6235.45,628.39,0.000717,8696102.0,-3.41,-10.36,-77.3
126,127,KRN,6209.04,682.95,0.005085,1221010.0,-0.15,142.44,1298.77
127,128,THEO,5919.78,1128.08,0.00152,3893400.0,5.71,31.74,200.36
128,129,SHOPX,4775.2,6393.49,0.01313,363642.0,-11.52,-91.94,-90.27
129,130,XURO,3547.64,2400.18,0.0008391,4228149.0,-0.28,-56.35,
130,131,RODS,2815.53,814.52,0.05361,52516.0,-0.1,-37.74,249.0
131,132,GPC,2036.48,855.26,0.0002035,10009545.0,-0.1,-11.0,-38.88
132,133,NTR,2129659.49,105.38,0.01011,210545045.0,-0.1,-2.79,16.13
