,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,115129712386.91,3529126400.0,6729.74,17107600.0,-0.15,-0.63,1.17
1,2,ETH,52853879076.1,1462065408.0,527.37,100222277.0,-0.01,-1.63,2.15
2,3,XRP,20987401524.61,194312096.0,0.5348,39245304677.0,-0.03,-0.97,-4.03
3,4,BCH,15031304838.54,361313696.0,874.09,17196438.0,-0.06,-1.91,-1.58
4,5,EOS,9339188786.44,662138816.0,10.42,896149492.0,0.06,-0.07,-6.98
5,6,LTC,5532657973.52,261544368.0,96.93,57081553.0,0.09,-0.97,-3.59
6,7,XLM,4277091115.09,38175500.0,0.228,18759393461.0,0.07,-1.62,-5.23
7,8,ADA,4110884853.75,41237712.0,0.1586,25927070538.0,0.0,-2.05,-7.09
8,9,MIOTA,3218542964.73,47678808.0,1.1579,2779530283.0,-0.17,-0.27,-8.95
9,10,TRX,3196662687.82,214723280.0,0.04862,65748111645.0,-0.03,-0.83,7.49
10,11,USDT,2608513439.47,2017643136.0,1.0005,2607140346.0,-0.05,-0.06,-0.32
11,12,NEO,2459785728.45,70598656.0,37.84,65000000.0,0.01,-3.21,-6.73
12,13,DASH,2124882900.62,50978584.0,260.83,8146515.0,-0.19,-1.82,-2.26
13,14,XMR,1996821612.18,29272838.0,123.61,16153853.0,0.73,0.99,-5.7
14,15,BNB,1944783693.17,122980360.0,17.05,114041290.0,0.18,5.89,14.8
15,16,ETC,1801505263.32,399803936.0,17.58,102468777.0,-0.84,4.21,25.66
16,17,VEN,1732484061.33,58908512.0,3.1644,547495525.0,-0.13,0.49,5.76
17,18,XEM,1698439523.39,15128283.0,0.1887,8999999999.0,-0.41,-2.88,-7.11
18,19,ONT,964126401.3,79066448.0,6.3726,151292175.0,0.92,-3.27,1.62
19,20,QTUM,915334528.85,85294344.0,10.32,88664516.0,0.01,-1.48,-7.08
20,21,OMG,911431048.44,15787838.0,8.9319,102042552.0,-0.07,-2.02,-5.54
21,22,ZEC,807503450.4,43987920.0,192.73,4189806.0,0.26,-1.04,-2.67
22,23,ICX,772344604.92,39188312.0,1.9935,387431340.0,0.28,-4.02,-11.79
23,24,LSK,669806091.75,7975457.0,6.2487,107191816.0,0.98,-1.71,-8.97
24,25,DCR,645919943.62,10094625.0,90.39,7145743.0,-0.42,-1.29,-8.24
25,26,BCN,644447022.13,15299003.0,0.003505,183890481254.0,0.15,-5.94,-22.8
26,27,ZIL,640306760.05,24178242.0,0.08452,7575893444.0,-0.14,-3.52,-8.34
27,28,AE,583427415.98,6584991.0,2.5038,233020472.0,0.41,-3.0,-6.62
28,29,BTG,542037423.86,11528681.0,31.74,17079949.0,0.46,-0.73,-7.29
29,30,BTM,507603717.22,53987040.0,0.5063,1002499275.0,0.15,-2.54,-3.95
30,31,ZRX,451535054.71,7929025.5,0.8492,531712585.0,0.12,-3.05,-9.58
31,32,SC,442473558.85,9298839.0,0.01257,35205679220.0,0.17,-1.33,-10.14
32,33,BTS,423832878.4,5211216.5,0.1608,2635310000.0,0.18,-0.78,-2.49
33,34,XVG,421450802.08,6846656.0,0.028,15054315539.0,0.05,-3.74,-7.11
34,35,STEEM,408397824.74,1854371.5,1.5551,262618757.0,-0.11,-3.79,-11.32
35,36,NANO,387230157.53,17214168.0,2.9061,133248289.0,-0.99,1.8,-0.34
36,37,REP,382486663.82,1758933.5,34.77,11000000.0,0.15,-3.88,0.92
37,38,MKR,354783537.15,32454.92,573.87,618228.0,0.14,0.59,-6.63
38,39,RHOC,354401956.78,785097.88,0.9828,360609817.0,0.23,-0.19,-6.06
39,40,WAVES,353991055.49,23635036.0,3.5399,100000000.0,0.01,-4.03,-1.08
40,41,BCD,347857304.28,1044530.06,2.2624,153756875.0,0.09,0.29,-9.89
41,42,DOGE,343482227.73,3952004.5,0.002988,114962637100.0,-0.25,-1.0,1.21
42,43,WAN,313719431.23,7344367.5,2.9554,106152493.0,-0.67,-4.17,-6.99
43,44,BAT,308856755.5,7712089.5,0.3089,1000000000.0,1.49,15.57,41.87
44,45,GNT,303750919.56,4282959.5,0.3619,839242000.0,0.23,-1.87,-7.28
45,46,BTCP,300781085.38,230853.84,14.7,20467403.0,-0.53,-2.9,-6.26
46,47,STRAT,296955461.56,2610670.5,3.0024,98904602.0,-0.03,0.35,-8.39
47,48,DGB,270978796.93,1971013.75,0.026,10422640519.0,0.66,-0.04,-8.44
48,49,PPT,270936674.98,5208560.5,7.3218,37004027.0,-0.53,-4.83,-17.06
49,50,IOST,257851993.29,31933294.0,0.0307,8400000000.0,1.51,-4.24,9.24
50,51,KCS,250760811.29,1285145.63,2.7638,90730576.0,0.06,6.24,8.18
51,52,SNT,249769299.08,6777785.0,0.07197,3470483788.0,0.14,-2.5,-9.09
52,53,WTC,249723862.71,5498713.0,8.0183,31144099.0,-0.79,-5.06,-11.32
53,54,HT,247125374.33,69578168.0,4.9425,50000200.0,0.24,-1.0,9.95
54,55,NAS,244659438.13,33122224.0,5.3771,45500000.0,-0.5,-1.0,-3.58
55,56,HC,239700870.86,24447560.0,5.5566,43138342.0,1.03,-3.27,-4.58
56,57,DGD,226880538.94,562943.44,113.44,2000000.0,0.05,-2.35,-3.58
57,58,AION,223763965.21,2021762.0,1.3361,167480575.0,0.08,-2.03,-15.45
58,59,LRC,206940440.81,5107628.5,0.3617,572074043.0,0.0,-4.55,-4.83
59,60,KMD,188426459.32,360454.84,1.8074,104253976.0,0.41,-3.33,-10.49
60,61,GXC,176574296.95,21027356.0,2.9429,60000000.0,0.44,-5.25,-13.63
61,62,CNX,176400113.1,1401338.38,3.8912,45332963.0,0.32,-0.41,2.14
62,63,BNT,174959166.08,7494280.0,3.4757,50338324.0,-0.05,-2.19,0.98
63,64,RDD,174240139.97,3724762.5,0.006048,28808713174.0,0.32,-4.08,15.94
64,65,ARDR,172435858.64,1328088.0,0.1726,998999495.0,0.01,-3.79,-11.16
65,66,MAID,167748286.23,2451889.25,0.3707,452552412.0,0.45,0.5,9.61
66,67,ELF,163953036.07,10522614.0,0.6558,250000000.0,-0.59,-4.45,-5.61
67,68,ARK,161647897.23,800129.88,1.564,103353392.0,-1.02,-1.37,-8.1
68,69,MONA,158259121.66,508688.81,2.6232,60329650.0,-0.47,-1.94,-5.48
69,70,MOAC,153453253.0,24123.79,4.2748,35897055.0,0.69,-8.52,-2.55
70,71,FUN,148748530.95,7384941.0,0.02969,5010848189.0,1.54,19.59,10.34
71,72,ELA,144416964.49,7124963.0,27.63,5226103.0,0.02,-1.81,-9.47
72,73,BIX,141694050.5,46065844.0,1.358,104342466.0,-0.25,-2.05,-8.73
73,74,DCN,140435615.15,50588.48,0.0004318,325226613094.0,0.37,-2.99,-5.62
74,75,CMT,137295506.72,18185890.0,0.1983,692459959.0,-1.15,-4.73,-10.25
75,76,PIVX,137221073.54,1157196.63,2.4267,56547044.0,0.57,-1.39,-10.98
76,77,MITH,135214835.42,38081948.0,0.4411,306507021.0,0.35,0.11,20.85
77,78,GAS,132857881.71,3641569.25,13.12,10128375.0,-0.1,-3.71,-7.75
78,79,ENG,128802021.86,7183500.5,1.7211,74836171.0,0.4,4.75,17.82
79,80,KNC,127606849.88,4887334.5,0.9513,134132697.0,0.4,-3.54,-8.24
80,81,VERI,124710457.55,937119.69,61.23,2036645.0,1.15,-7.85,-15.0
81,82,CENNZ,124534464.58,446659.03,0.158,788351962.0,-0.94,53.99,29.52
82,83,CTXC,117943243.32,22514944.0,0.7874,149792458.0,0.13,0.22,-0.51
83,84,SYS,117645772.65,817497.19,0.2196,535640859.0,0.21,-5.2,-8.33
84,85,VGX,116495048.7,1955584.38,1.5158,76853089.0,-0.31,-2.1,-20.13
85,86,DROP,115388601.2,335784.78,0.005921,19489055378.0,0.16,-0.62,-0.04
86,87,FSN,114220771.38,4561004.5,3.8478,29684331.0,1.08,-5.88,-16.07
87,88,EMC,114193269.26,1883309.13,2.7245,41913412.0,-0.5,-1.4,8.08
88,89,NXT,111428324.11,3138903.0,0.1115,998999942.0,0.02,-0.74,-6.66
89,90,QASH,111410437.52,1298791.38,0.3183,350000000.0,0.22,-5.82,-11.02
90,91,KIN,109421144.3,333149.19,0.0001447,756097560976.0,-0.51,-2.94,-8.25
91,92,WICC,108653166.66,15029227.0,0.6195,175400000.0,3.04,-6.43,-37.13
92,93,LOOM,107255790.37,2307711.5,0.1778,603162086.0,0.62,-5.72,-27.23
93,94,DDD,104757707.44,1445409.0,0.3491,300056960.0,-3.16,-9.26,-4.67
94,95,MANA,104213106.78,7017405.0,0.09924,1050141509.0,-0.02,-5.9,-1.0
95,96,FCT,104007221.39,289231.09,11.89,8745102.0,-0.24,0.59,10.71
96,97,NULS,103640613.56,2136426.0,2.591,40000000.0,0.28,-3.84,-5.54
97,98,SUB,102690769.9,1809026.63,0.2681,383021000.0,-0.53,-6.07,-5.43
98,99,THETA,101813589.9,14347353.0,0.1534,663902689.0,-0.65,3.27,-10.74
99,100,POLY,99514916.55,3216353.0,0.36,276420107.0,0.15,-1.72,-13.33
100,101,XZC,98330339.43,405262.97,19.59,5019498.0,-0.04,-2.32,-9.07
101,102,DRGN,96727425.34,879670.13,0.4057,238421940.0,0.27,-3.1,-7.56
102,103,POWR,95488942.44,837134.19,0.2557,373406633.0,-0.38,-1.27,-1.41
103,104,NXS,89666658.98,1917030.25,1.5485,57905350.0,-0.39,-3.55,1.66
104,105,BFT,89413132.96,2005493.75,0.1419,629990099.0,-0.01,-1.9,-2.81
105,106,STORM,89207674.94,6126852.5,0.02142,4165148496.0,-0.01,-3.11,-7.04
106,107,GTC,88602857.07,2232488.75,0.1264,701228686.0,0.04,-0.89,22.29
107,108,ETN,88109617.66,480084.59,0.01218,7235802493.0,-0.06,-1.94,-15.51
108,109,PAYX,87387400.29,11129.07,1.2771,68428768.0,-0.04,-2.14,23.26
109,110,BLOCK,86702832.18,61397.22,16.67,5199820.0,0.42,-4.65,-0.53
110,111,EOSDAC,84283452.19,1062692.75,0.1276,660755177.0,0.42,-4.74,-13.68
