,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,2540139340.44,,213.62,11890925.0,1.11,10.56,47.95
1,2,XRP,61551190.09,,0.007873,7817889792.0,1.0,15.38,6.07
2,3,LTC,45838139.23,,2.0508,22351542.0,-4.2,19.95,6.24
3,4,PPC,6780788.71,,0.3292,20598504.0,-5.81,10.79,5.8
4,5,NMC,3294662.62,,0.4654,7078800.0,-0.44,10.31,-0.55
5,6,XPM,1893001.72,,0.7049,2685323.0,6.88,23.58,1.62
6,7,NVC,1756037.03,,3.8291,458602.0,-3.27,-7.68,-4.83
7,8,FTC,1474285.41,,0.07263,20298350.0,-6.72,11.2,-14.73
8,9,TRC,432028.28,,0.1068,4044830.0,5.64,14.29,-13.62
9,10,DVC,319793.51,,5.768e-05,5544520192.0,5.0,14.6,23.9
10,11,CBX,222382.2,,0.2563,867508.0,-8.18,-17.06,-34.58
11,12,MEC,215157.54,,0.01073,20059700.0,0.05,-0.21,-13.11
12,13,FRC,211248.74,,0.007049,29966656.0,1.11,20.4,29.88
13,14,IXC,207352.77,,0.01282,16172306.0,1.15,-19.58,-18.31
14,15,MNC,165926.91,,0.1218,1362460.0,-4.62,-1.56,-59.14
15,16,GLC,120512.08,,0.004358,27654036.0,1.11,10.03,33.18
16,17,IFC,112049.54,,1.33e-06,84203077632.0,0.66,21.3,
17,18,DGC,108898.74,,0.01104,9860306.0,1.11,-3.06,-29.64
18,19,ANC,90122.11,,0.1902,473746.0,1.3,,
19,20,BQC,54346.1,,0.002093,25959744.0,0.82,27.5,32.19
20,21,ZET,33475.41,,0.0002243,149243248.0,1.11,20.54,-25.76
21,22,FRK,29167.82,,0.4742,61505.0,2.03,11.59,46.58
22,23,FST,28916.89,,0.0008545,33841500.0,-22.59,31.5,-21.61
23,24,QRK,25919.66,,0.000109,237912448.0,-11.09,-16.68,-24.01
24,25,YAC,23179.57,,0.002617,8857831.0,1.29,-24.83,-32.89
25,26,LKY,20745.77,,0.003025,6858424.0,1.13,9.63,
26,27,BTB,7508.92,,1.1111,6758.0,1.11,14.53,-33.96
27,28,BTE,5735.22,,0.004851,1182200.0,1.11,-28.83,25.26
28,29,JKC,3210.9,,0.0004096,7840050.0,1.96,-30.33,52.63
29,30,ARG,2245.56,,0.005744,390924.0,1.52,-66.97,-76.67
30,31,ELC,2240.54,,0.08558,26179.0,-3.57,5.46,-4.05
31,32,GME,2035.49,,2.496e-05,81563648.0,1.77,21.74,-46.81
32,33,BTG,1733.9,,0.07944,21826.0,1.11,24.68,-54.16
33,34,CRC,1111.2,,0.00675,164613.0,1.11,-31.15,-15.12
34,35,EMD,839.71,,0.0007199,1166425.0,0.99,13.97,-12.91
35,36,NRB,777.98,,0.001297,599980.0,-18.27,-12.87,-34.17
