,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,10315662000.0,18052666.0,840.0,12280550.0,0.27,2.56,-7.78
1,2,LTC,613518266.78,5190399.5,24.55,24987304.0,0.79,2.87,-7.9
2,3,XRP,166352768.43,21242.26,0.02128,7817889792.0,0.31,2.86,-11.09
3,4,PPC,122952397.85,700359.63,5.838,21060706.0,-0.43,1.5,-9.66
4,5,OMNI,77528665.16,26676.95,125.15,619478.0,-0.05,15.09,-5.95
5,6,NMC,47706464.23,762557.19,6.1152,7801293.0,0.03,3.13,-10.95
6,7,NXT,47653103.7,560973.38,0.04765,999998016.0,0.5,63.55,6.65
7,8,DOGE,18272131.35,2998022.75,0.000588,31075053568.0,0.76,40.89,63.13
8,9,QRK,17302333.3,60018.8,0.06996,247304800.0,1.42,7.76,-11.32
9,10,PTS,16480865.66,21667.39,12.26,1343868.0,0.97,-1.63,-17.14
10,11,MEC,15907191.8,5145.13,0.7302,21785600.0,1.24,1.71,-11.49
11,12,WDC,13754276.89,74146.27,0.3377,40731688.0,0.46,-4.05,-23.43
12,13,XPM,13316179.31,231125.28,3.2676,4075217.0,0.89,-0.32,-13.65
13,14,FTC,9412282.32,45533.86,0.3108,30284050.0,-0.61,2.08,-16.77
14,15,NVC,8391839.97,217753.09,14.84,565381.0,0.27,3.26,-8.42
15,16,YBC,5263748.21,3288.01,5.67,928353.0,10.21,13.06,
16,17,IFC,5041911.02,25702.87,5.617e-05,89769623552.0,1.69,-1.97,-24.44
17,18,DGC,4073130.3,13834.49,0.3276,12431968.0,0.28,2.3,
18,19,ZET,3126350.65,3813.72,0.01957,159735888.0,11.12,-0.19,-24.93
19,20,ANC,2694114.08,19384.08,4.0136,671250.0,0.85,6.28,-22.35
20,21,TIX,2573332.41,1643.91,3.848e-05,66876280832.0,2.25,7.02,-10.88
21,22,NET,2472228.37,16406.25,0.01204,205370112.0,3.51,0.72,-33.97
22,23,DVC,2415947.03,5165.9,0.0003948,6119419904.0,0.28,-0.19,-29.8
23,24,CLR,2355969.05,3999.81,0.4032,5843299.0,0.28,15.21,18.08
24,25,TRC,2168436.83,14420.42,0.4368,4964370.0,-1.61,-1.89,-22.72
25,26,IXC,1861320.7,1702.06,0.105,17722610.0,0.29,-9.29,-14.55
26,27,TAG,1176198.54,6507.83,1.6279,722524.0,1.27,-3.2,-20.37
27,28,BTB,976181.64,13718.39,105.42,9260.0,-0.7,-0.45,-12.11
28,29,MNC,974106.63,2225.63,0.638,1526712.0,,6.35,2.92
29,30,CBX,876985.9,9579.39,0.9371,935847.0,0.28,5.17,-26.56
30,31,EXC,866245.33,648.18,0.2503,3460552.0,0.28,10.46,
31,32,BQC,836464.32,1898.76,0.02724,30705854.0,0.02,-9.12,-29.76
32,33,EAC,807824.33,56584.87,0.0009828,821962048.0,2.03,2.92,-51.26
33,34,FZ,744590.64,17147.14,0.1564,4760745.0,1.7,52.05,
34,35,GLC,713360.08,4277.92,0.02428,29375240.0,-1.27,-5.13,-40.65
35,36,MMC,619383.42,8298.89,0.2184,2835678.0,-3.71,-5.73,-28.92
36,37,SXC,584960.16,5248.66,0.01069,54724024.0,,-10.2,-30.74
37,38,FST,557910.05,12758.76,0.01056,52838396.0,0.01,2.97,-23.1
38,39,DTC,542467.26,4850.31,0.2865,1893214.0,-5.37,-1.41,
39,40,UNO,519153.96,4300.51,3.9686,130816.0,2.37,-3.16,-32.39
