,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,4833837531.25,43665668.0,361.56,13369300.0,0.23,-0.52,-0.07
1,2,XRP,141219771.09,140436.27,0.004871,28989252282.0,0.13,0.98,-2.85
2,3,LTC,124850175.47,6313694.0,3.8074,32791551.0,0.09,-2.23,-9.57
3,4,BTS,54101519.61,203302.8,0.02705,1999883512.0,-0.93,-5.09,-14.29
4,5,DOGE,25469935.12,513973.47,0.0002708,94035788777.0,-1.54,-7.32,-17.33
5,6,NXT,24737489.28,26071.95,0.02474,999997096.0,0.14,-2.76,-6.74
6,7,PPC,22661493.91,214464.55,1.0394,21802932.0,0.21,-6.83,24.48
7,8,FLAP,21640004.87,2649.41,0.0003848,56230509048.0,-1.12,9000.0,9000.0
8,9,DASH,10592245.68,63434.25,2.2379,4733116.0,-1.37,-5.45,-7.65
9,10,NMC,10397259.76,35709.82,1.0375,10021250.0,-0.03,-2.34,8.62
10,11,MAID,8556631.55,3458.43,0.01891,452552412.0,0.21,-0.92,-0.92
11,12,XCP,7978987.69,26632.43,3.0137,2647552.0,-0.99,-19.16,63.65
12,13,PTS,5080053.92,222584.45,2.887,1759605.0,0.47,-12.62,-15.05
13,14,XMR,4508413.34,121420.41,1.1406,3952577.0,0.32,3.15,3.62
14,15,UNITY,3721070.79,12586.31,4.5598,816061.0,0.6,-3.97,-4.5
15,16,BTCD,3568358.55,33117.23,3.0056,1187243.0,-3.24,-6.98,-19.34
16,17,XLM,3149079.31,14306.51,0.002309,1363989875.0,0.23,-0.01,-12.25
17,18,BLK,3115643.5,25583.46,0.04172,74687478.0,0.15,-7.39,-18.36
18,19,BANX,3086550.09,776.68,1.1932,2586882.0,0.21,29.74,171.5
19,20,XC,2571648.61,12228.44,0.4635,5547731.0,0.69,-1.75,-2.18
20,21,NXTV,2498744.96,1791.6,2.4987,1000000.0,0.15,-8.05,-24.64
21,22,BCN,2300901.76,3961.09,1.408e-05,163439288069.0,0.66,4.71,-2.08
22,23,USNBT,2273394.35,159933.22,1.0147,2240455.0,0.59,2.12,-0.23
23,24,QRK,1665265.32,4409.49,0.006707,248285673.0,0.58,-5.72,-12.75
24,25,ANC,1587998.73,59407.18,1.2175,1304264.0,1.95,-6.7,67.13
25,26,NXTTY,1508864.07,5656.33,0.002743,550000000.0,0.34,-2.57,-2.06
26,27,FTC,1433955.94,13674.48,0.02534,56578530.0,-8.99,-7.96,9.77
27,28,PND,1399297.65,3711.36,4.339e-05,32249491633.0,0.21,-6.32,37.53
28,29,RDD,1368589.77,4620.99,5.003e-05,27355037508.0,0.98,-1.84,-7.85
29,30,XPM,1346561.19,17980.65,0.1934,6964105.0,-0.06,-8.72,7.86
30,31,LKNX,1337707.04,13310.38,0.1338,10000000.0,0.21,-10.32,-0.11
31,32,ZET,1190728.42,6703.05,0.007396,160998826.0,-4.62,-8.37,-0.46
32,33,DEX,1100823.16,602.15,1.1008,1000000.0,0.15,-6.75,-20.19
33,34,SF0,1059917.44,1149.96,791.6,1339.0,0.15,14.16,-1.95
34,35,VRC,1059237.97,11224.84,0.03941,26876911.0,4.34,2.21,-16.59
35,36,YBC,1025040.58,18436.27,0.4843,2116421.0,0.54,-1.36,-5.41
36,37,VIA,983971.31,17273.03,0.08564,11490180.0,0.24,3.74,-6.93
37,38,NTR,976389.27,2003.51,0.004637,210545045.0,-0.48,57.89,-31.58
38,39,MONA,882288.6,4706.67,0.06856,12868450.0,3.71,6.13,32.96
39,40,NXTcoinsco,857244.42,642.44,0.8658,990100.0,0.15,13.83,
40,41,NVC,793686.93,4860.82,0.9373,846792.0,0.15,-3.1,4.54
41,42,WDC,733528.33,1690.85,0.01114,65825822.0,-0.16,-2.85,0.33
42,43,MAX,723551.55,4270.91,0.01986,36426987.0,0.77,5.15,16.54
