,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,919527847949.71,75215403906.65,49150.53,18708400.0,-7.19,-13.32,-14.41
1,2,ETH,438585075673.54,69023382175.45,3785.85,115848551.0,-10.61,-9.18,7.47
2,3,BNB,90246958220.91,4311561442.3,588.19,153432897.0,-7.83,-12.52,-9.74
3,4,USDT,57285613367.28,179881127372.2,0.9999,57286025145.0,-0.01,0.01,0.01
4,5,ADA,49608527761.01,5338469590.58,1.5528,31948309441.0,-8.34,-11.98,5.24
5,6,DOGE,49932901318.51,8621337859.47,0.3854,129569301219.0,-16.51,-22.18,-41.4
6,7,XRP,43810403720.58,9272699845.72,1.2479,35108326973.0,-10.42,-15.55,-22.71
7,8,DOT,31900616639.49,3698746094.7,34.03,937387943.0,-11.84,-11.93,-15.96
8,9,ICP,31616664576.53,1029335147.04,255.49,123747068.0,-9.5,-29.96,0.0
9,10,BCH,22666170170.86,8940812628.75,1209.81,18735363.0,-12.88,-21.56,-16.85
10,11,LTC,20231645868.43,8782996412.02,303.08,66752415.0,-13.03,-19.69,-14.87
11,12,UNI,20165651659.01,1851746863.31,36.04,559565285.0,-12.04,-6.37,-15.2
12,13,LINK,17439718886.25,2464290550.81,41.03,425009554.0,-9.76,-15.84,-16.99
13,14,USDC,14381550569.97,3183988041.73,1.0001,14380157844.0,0.02,-0.01,0.0
14,15,XLM,13599051090.08,2788838781.52,0.5887,23099956884.0,-9.7,-19.36,-2.44
15,16,SOL,11575451927.3,1151668075.96,42.46,272637428.0,-12.09,-4.76,-5.49
16,17,VET,10583910310.37,2009703770.81,0.1646,64315576989.0,-14.76,-22.68,-20.62
17,18,EOS,9804576830.39,13854199526.98,10.28,953325829.0,-12.58,-28.41,17.08
18,19,ETC,9625991403.96,9277358254.86,82.76,116313299.0,-16.87,-25.54,-12.21
19,20,THETA,9040000719.65,486499199.29,9.04,1000000000.0,-12.06,-16.67,-17.74
20,21,WBTC,8629344901.33,448273474.82,49433.48,174565.0,-7.72,-13.33,-14.12
21,22,BUSD,7798474800.49,9441833344.69,0.9999,7798823536.0,-0.02,0.01,0.01
22,23,TRX,8505943544.02,4360921578.14,0.1187,71659657369.0,-8.69,-14.5,-18.9
23,24,FIL,8957690956.83,1247505379.18,126.86,70610613.0,-5.89,-11.36,-16.71
24,25,XMR,7026798630.06,640553003.23,392.38,17908012.0,-8.85,-13.48,-5.95
25,26,NEO,6562846366.25,1608898990.64,93.04,70538831.0,-12.48,-19.41,-19.38
26,27,SHIB,7007387313.78,7320441815.95,1.775e-05,394796000000000.0,-16.51,-42.03,937.03
27,28,AAVE,6251969445.29,2700355688.72,490.58,12744062.0,-15.26,7.31,2.2
28,29,HT,6212219169.1,2734160685.01,34.65,179285916.0,-10.51,2.71,37.33
29,30,BSV,5610951576.67,2385424877.18,299.55,18730983.0,-14.82,-23.65,-29.25
